symbol,date,high,low,close,volume,ema50,ema200,rsi,return_1m,return_3m,return_6m,avg_volume_30,volume_expansion
SBILIFE,2026-05-25,1905.0,1879.8,1901.9,445135,,,,,,,,
SBIN,2026-05-25,972.5,957.5,969.6,10934747,,,,,,,,
SCHAEFFLER,2026-05-25,4135.6,4066.6,4102.7,32247,,,,,,,,
SCHNEIDER,2026-05-25,1372.9,1317.7,1364.7,339190,,,,,,,,
SCI,2026-05-25,321.55,300.35,302.75,10236255,,,,,,,,
SHREECEM,2026-05-25,25425.0,24870.0,25355.0,11177,,,,,,,,
SHRIRAMFIN,2026-05-25,970.5,956.9,961.95,6256205,,,,,,,,
SHYAMMETL,2026-05-25,978.0,939.0,962.05,1201943,,,,,,,,
SIEMENS,2026-05-25,3878.5,3658.0,3667.5,471211,,,,,,,,
SIGNATURE,2026-05-25,843.05,810.1,813.65,278313,,,,,,,,
SJVN,2026-05-25,74.75,73.76,74.27,1836904,,,,,,,,
SOBHA,2026-05-25,1402.0,1382.7,1395.2,35197,,,,,,,,
SOLARINDS,2026-05-25,18475.0,18011.0,18377.0,105453,,,,,,,,
SONACOMS,2026-05-25,603.55,592.7,594.65,711240,,,,,,,,
SONATSOFTW,2026-05-25,278.4,267.15,274.1,775257,,,,,,,,
SPLPETRO,2026-05-25,703.95,679.0,680.9,51131,,,,,,,,
SRF,2026-05-25,2724.0,2655.4,2711.0,170564,,,,,,,,
STARHEALTH,2026-05-25,531.5,518.75,525.65,1016073,,,,,,,,
SUMICHEM,2026-05-25,482.4,466.9,478.65,749447,,,,,,,,
SUNDARMFIN,2026-05-25,4533.9,4363.7,4385.2,112023,,,,,,,,
SUNPHARMA,2026-05-25,1849.0,1825.0,1840.6,3049028,,,,,,,,
SUNTV,2026-05-25,507.9,480.9,494.3,2013938,,,,,,,,
SUPREMEIND,2026-05-25,3637.9,3564.6,3612.9,84056,,,,,,,,
SUZLON,2026-05-25,54.9,53.1,53.99,132667695,,,,,,,,
SWANCORP,2026-05-25,326.9,320.0,322.95,479847,,,,,,,,
SWIGGY,2026-05-25,254.85,249.3,250.05,9910182,,,,,,,,
SYNGENE,2026-05-25,472.0,458.45,462.4,878441,,,,,,,,
SYRMA,2026-05-25,1080.0,1036.15,1057.25,1019492,,,,,,,,
TARIL,2026-05-25,318.4,312.0,314.0,1923356,,,,,,,,
TATACAP,2026-05-25,311.75,303.3,309.55,3918772,,,,,,,,
TATACHEM,2026-05-25,788.0,750.8,765.95,1726265,,,,,,,,
TATACOMM,2026-05-25,1984.3,1911.5,1936.0,824325,,,,,,,,
TATACONSUM,2026-05-25,1198.6,1181.5,1187.2,1811755,,,,,,,,
TATAELXSI,2026-05-25,4394.0,4300.0,4327.2,287410,,,,,,,,
TATAINVEST,2026-05-25,687.5,670.05,678.7,377106,,,,,,,,
TATAPOWER,2026-05-25,415.1,409.4,413.55,3635798,,,,,,,,
TATASTEEL,2026-05-25,211.75,209.44,210.22,23090495,,,,,,,,
TATATECH,2026-05-25,678.15,664.1,677.3,824834,,,,,,,,
TBOTEK,2026-05-25,1220.0,1190.0,1215.2,34794,,,,,,,,
TCS,2026-05-25,2326.1,2293.0,2308.2,3298364,,,,,,,,
TECHM,2026-05-25,1445.0,1421.2,1435.5,887430,,,,,,,,
TECHNOE,2026-05-25,1383.9,1325.0,1373.0,559901,,,,,,,,
TEGA,2026-05-25,1635.0,1597.4,1609.8,25727,,,,,,,,
TEJASNET,2026-05-25,487.55,469.55,473.95,3566345,,,,,,,,
TENNIND,2026-05-25,633.0,605.0,617.75,2197158,,,,,,,,
THELEELA,2026-05-25,424.95,411.5,414.35,312468,,,,,,,,
THERMAX,2026-05-25,4476.9,4405.1,4435.7,104492,,,,,,,,
TIINDIA,2026-05-25,3100.0,3026.3,3047.6,175370,,,,,,,,
TIMKEN,2026-05-25,3775.0,3608.4,3621.2,165147,,,,,,,,
TITAGARH,2026-05-25,840.0,767.0,832.1,8038325,,,,,,,,
TITAN,2026-05-25,4170.0,4110.4,4159.2,606086,,,,,,,,
TMCV,2026-05-25,399.35,386.0,395.65,11762656,,,,,,,,
TMPV,2026-05-25,374.3,366.15,373.25,10356089,,,,,,,,
TORNTPHARM,2026-05-25,4712.9,4510.0,4572.6,1007365,,,,,,,,
TORNTPOWER,2026-05-25,1509.0,1468.0,1474.6,598235,,,,,,,,
TRAVELFOOD,2026-05-25,1168.3,1120.0,1152.6,97221,,,,,,,,
TRENT,2026-05-25,4362.0,4290.0,4300.0,584516,,,,,,,,
TRIDENT,2026-05-25,24.85,24.36,24.58,4635006,,,,,,,,
TRITURBINE,2026-05-25,714.9,687.6,692.75,1691050,,,,,,,,
TTML,2026-05-25,43.2,42.45,42.86,1472079,,,,,,,,
TVSMOTOR,2026-05-25,3501.7,3420.0,3469.5,918345,,,,,,,,
UBL,2026-05-25,1328.2,1317.4,1323.5,310005,,,,,,,,
UCOBANK,2026-05-25,25.62,24.91,25.54,5082494,,,,,,,,
ULTRACEMCO,2026-05-25,11796.0,11614.0,11726.0,229618,,,,,,,,
UNIONBANK,2026-05-25,169.46,161.91,168.87,19110578,,,,,,,,
UNITDSPR,2026-05-25,1302.0,1279.0,1284.1,739366,,,,,,,,
UNOMINDA,2026-05-25,1123.6,1099.0,1118.5,1331136,,,,,,,,
UPL,2026-05-25,654.55,636.85,652.3,1467073,,,,,,,,
URBANCO,2026-05-25,126.89,120.8,124.65,10262646,,,,,,,,
USHAMART,2026-05-25,479.85,468.05,473.9,389938,,,,,,,,
UTIAMC,2026-05-25,964.0,953.3,957.7,39414,,,,,,,,
VBL,2026-05-25,543.95,526.2,530.7,8578018,,,,,,,,
VEDL,2026-05-25,335.4,330.5,332.5,11129217,,,,,,,,
VIJAYA,2026-05-25,1240.0,1212.0,1220.4,146945,,,,,,,,
VMM,2026-05-25,122.91,119.78,121.05,7503994,,,,,,,,
