SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,24-Jul-2026,1083.20,1068.30,1105.00,1065.00,1102.00,1102.30,1087.74,918262,9988.29,36716,329644,35.90
3MINDIA,EQ,24-Jul-2026,35245.00,35110.00,35790.00,34915.00,35700.00,35500.00,35454.76,2736,970.04,1537,937,34.25
AADHARHFC,EQ,24-Jul-2026,500.80,500.90,502.95,492.50,495.25,495.00,495.05,136978,678.11,8559,57693,42.12
AARTIIND,EQ,24-Jul-2026,478.20,475.00,480.55,469.00,477.90,477.80,475.62,309677,1472.88,9876,129569,41.84
AAVAS,EQ,24-Jul-2026,1385.90,1350.00,1399.90,1350.00,1399.90,1379.00,1369.67,62171,851.54,10892,23763,38.22
ABB,EQ,24-Jul-2026,7528.00,7498.00,7583.00,7333.00,7390.00,7375.50,7460.58,258917,19316.71,31965,108928,42.07
ABBOTINDIA,EQ,24-Jul-2026,28690.00,27900.00,28050.00,27650.00,28000.00,28005.00,27899.08,10811,3016.17,4178,5252,48.58
ABCAPITAL,EQ,24-Jul-2026,392.25,390.00,395.30,384.35,394.00,393.85,390.73,3424162,13379.36,38550,1435706,41.93
ABDL,EQ,24-Jul-2026,602.55,585.00,626.70,580.00,623.00,620.75,612.05,917748,5617.08,43061,265085,28.88
ABFRL,EQ,24-Jul-2026,56.03,55.90,56.75,55.10,56.11,56.25,55.78,2288618,1276.48,12168,1048230,45.80
ABLBL,EQ,24-Jul-2026,92.85,93.00,94.50,91.90,94.23,94.01,92.91,276457,256.85,3649,150819,54.55
ABREL,EQ,24-Jul-2026,1398.10,1390.10,1394.50,1359.10,1380.00,1374.20,1375.53,113460,1560.68,11691,41145,36.26
ABSLAMC,EQ,24-Jul-2026,986.00,975.00,1022.40,974.00,1016.00,1017.00,1009.05,546485,5514.31,34036,279082,51.07
ACC,EQ,24-Jul-2026,1333.90,1329.00,1354.70,1312.00,1342.00,1340.90,1332.61,470047,6263.89,28526,54327,11.56
ACE,EQ,24-Jul-2026,979.00,975.20,1051.00,971.60,1040.90,1039.40,1027.67,2105588,21638.42,80353,475167,22.57
ACMESOLAR,EQ,24-Jul-2026,363.05,361.40,374.90,361.40,365.50,365.85,367.32,2104262,7729.35,39534,846742,40.24
ACUTAAS,EQ,24-Jul-2026,3459.10,3330.10,3457.10,3209.00,3251.90,3259.50,3301.35,1243383,41048.46,112183,414091,33.30
ADANIENSOL,EQ,24-Jul-2026,1683.80,1676.00,1713.90,1668.80,1702.00,1702.20,1695.57,2585952,43846.68,64268,858834,33.21
ADANIENT,EQ,24-Jul-2026,3010.00,3010.00,3041.90,2992.50,3025.00,3026.40,3019.74,1280635,38671.81,55852,376223,29.38
ADANIGREEN,EQ,24-Jul-2026,1379.90,1356.00,1405.00,1352.00,1395.80,1395.10,1385.46,5247088,72696.07,103230,1669502,31.82
