SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,10-Apr-2026,998.10,998.00,1022.00,992.65,1013.00,1012.65,1011.12,1139241,11519.05,36706,624944,54.86
3MINDIA,EQ,10-Apr-2026,31050.00,31450.00,31705.00,31210.00,31580.00,31475.00,31500.00,3579,1127.39,1974,1684,47.05
AADHARHFC,EQ,10-Apr-2026,472.00,472.00,480.95,470.10,477.95,478.60,478.18,561142,2683.25,21668,368537,65.68
AARTIIND,EQ,10-Apr-2026,421.55,425.00,432.00,422.25,424.00,423.75,425.66,723908,3081.38,18587,467025,64.51
AAVAS,EQ,10-Apr-2026,1220.50,1233.60,1247.00,1224.10,1243.00,1243.80,1234.96,285659,3527.76,13377,243905,85.38
ABB,EQ,10-Apr-2026,6614.00,6642.00,6905.50,6612.50,6849.00,6859.50,6793.30,798909,54272.26,67667,389451,48.75
ABBOTINDIA,EQ,10-Apr-2026,25780.00,25965.00,25970.00,25620.00,25825.00,25780.00,25788.85,9771,2519.83,5496,4281,43.81
ABCAPITAL,EQ,10-Apr-2026,334.55,336.70,342.95,336.60,341.85,341.90,340.68,4807226,16377.40,52012,1966470,40.91
ABDL,EQ,10-Apr-2026,466.55,473.00,513.20,470.10,513.20,509.40,505.11,2138634,10802.49,35721,583022,27.26
ABFRL,EQ,10-Apr-2026,58.43,58.80,61.39,58.70,60.38,60.33,60.17,12985011,7813.59,40295,6809470,52.44
ABLBL,EQ,10-Apr-2026,99.62,100.14,102.49,99.79,101.10,101.16,101.35,408109,413.63,9294,180884,44.32
ABREL,EQ,10-Apr-2026,1289.40,1303.20,1397.00,1290.10,1360.10,1361.10,1359.63,1096732,14911.52,54653,327709,29.88
ABSLAMC,EQ,10-Apr-2026,967.75,974.90,1010.85,958.95,1003.00,997.85,991.76,663943,6584.70,34074,336745,50.72
ACC,EQ,10-Apr-2026,1391.90,1398.70,1430.00,1395.60,1423.30,1424.60,1418.15,186253,2641.34,12545,78412,42.10
ACE,EQ,10-Apr-2026,865.85,875.00,913.00,865.85,909.00,909.35,895.71,1521321,13626.56,40731,599589,39.41
ACMESOLAR,EQ,10-Apr-2026,273.10,273.50,276.20,266.70,270.00,268.65,270.71,864642,2340.68,13590,501518,58.00
ACUTAAS,EQ,10-Apr-2026,2322.10,2350.00,2394.00,2313.10,2361.80,2362.20,2362.57,296389,7002.38,28364,152701,51.52
ADANIENSOL,EQ,10-Apr-2026,1078.75,1079.90,1160.40,1079.30,1154.00,1157.90,1136.00,7933292,90121.87,162842,2897398,36.52
ADANIENT,EQ,10-Apr-2026,2040.50,2043.10,2094.60,2041.70,2087.20,2086.80,2076.69,1700162,35307.04,55344,561707,33.04
ADANIGREEN,EQ,10-Apr-2026,1044.55,1044.50,1087.75,1040.50,1085.20,1085.35,1069.96,7332980,78460.15,108905,2511223,34.25
ADANIPORTS,EQ,10-Apr-2026,1447.40,1442.00,1478.10,1438.30,1474.10,1475.30,1463.95,4026881,58951.38,93344,1654935,41.10
ADANIPOWER,EQ,10-Apr-2026,172.33,173.60,178.10,172.11,175.20,175.81,175.61,51959590,91245.65,183985,14059772,27.06
AEGISLOG,EQ,10-Apr-2026,605.60,612.00,656.50,611.65,633.10,632.45,638.76,3725391,23796.22,92909,548635,14.73
AEGISVOPAK,EQ,10-Apr-2026,187.32,189.00,197.00,188.64,189.84,189.99,191.99,1014095,1946.98,16949,497305,49.04
AFCONS,EQ,10-Apr-2026,310.65,310.85,327.30,310.85,324.60,324.90,322.60,525721,1696.00,17240,200495,38.14
AFFLE,EQ,10-Apr-2026,1396.00,1413.80,1419.00,1395.70,1400.00,1401.60,1403.72,246048,3453.83,14642,161551,65.66
AIAENG,EQ,10-Apr-2026,3631.80,3670.10,3792.00,3645.20,3772.90,3773.30,3758.41,73271,2753.82,17679,34657,47.30
AIIL,EQ,10-Apr-2026,430.25,435.00,445.00,432.60,441.95,441.15,441.49,331245,1462.40,11767,129958,39.23
AJANTPHARM,EQ,10-Apr-2026,2751.00,2770.00,2835.00,2750.00,2803.90,2806.00,2807.13,55685,1563.15,12972,27377,49.16
ALKEM,EQ,10-Apr-2026,5370.50,5390.00,5451.50,5353.50,5431.00,5440.00,5421.54,80490,4363.80,17926,47901,59.51
AMBER,EQ,10-Apr-2026,6888.50,6998.50,7290.50,6972.50,7250.00,7245.00,7176.85,456304,32748.26,50190,89996,19.72
AMBUJACEM,EQ,10-Apr-2026,434.05,437.00,447.00,435.25,446.00,445.20,441.96,3576120,15805.03,32896,1862036,52.07
ANANDRATHI,EQ,10-Apr-2026,3553.70,3598.00,3603.70,3450.00,3589.00,3578.50,3534.62,683488,24158.74,54564,186597,27.30
ANANTRAJ,EQ,10-Apr-2026,476.75,480.00,493.85,479.90,490.00,488.10,487.90,1912472,9331.04,30809,614236,32.12
ANGELONE,EQ,10-Apr-2026,281.80,281.49,287.90,279.54,281.20,280.99,283.80,14403261,40876.73,81897,3541996,24.59
ANTHEM,EQ,10-Apr-2026,720.25,720.95,749.00,720.95,746.00,744.40,737.98,419527,3096.02,16348,235376,56.11
ANURAS,EQ,10-Apr-2026,1275.90,1279.00,1299.90,1274.90,1283.50,1286.20,1286.25,220907,2841.41,9637,163500,74.01
APARINDS,EQ,10-Apr-2026,10767.00,10899.50,11439.50,10826.00,11329.50,11342.00,11214.41,168276,18871.15,33230,54718,32.52
APLAPOLLO,EQ,10-Apr-2026,2040.30,2049.70,2072.00,2016.00,2065.10,2064.60,2047.11,399118,8170.39,33763,189851,47.57
APOLLOHOSP,EQ,10-Apr-2026,7481.50,7500.00,7563.00,7461.50,7519.50,7511.50,7526.78,437163,32904.31,51443,259712,59.41
APOLLOTYRE,EQ,10-Apr-2026,440.35,440.35,446.00,435.50,439.00,438.15,438.87,1052640,4619.68,50804,511632,48.60
APTUS,EQ,10-Apr-2026,217.83,220.40,224.47,218.90,223.71,223.23,222.38,3041628,6763.99,29834,1932172,63.52
ARE&M,EQ,10-Apr-2026,740.15,745.00,753.00,739.35,742.50,741.40,744.98,646956,4819.68,28735,418088,64.62
ASAHIINDIA,EQ,10-Apr-2026,858.75,868.95,879.90,864.05,869.00,869.85,872.08,50111,437.01,5174,20035,39.98
ASHOKLEY,EQ,10-Apr-2026,170.38,172.90,178.38,172.13,177.99,178.02,176.43,39293953,69328.20,241412,18154704,46.20
ASIANPAINT,EQ,10-Apr-2026,2269.60,2267.70,2376.90,2267.70,2356.00,2360.70,2352.32,3018178,70997.21,182655,1429892,47.38
ASTERDM,EQ,10-Apr-2026,668.10,674.50,683.35,668.00,682.00,681.80,676.18,442593,2992.72,15726,209376,47.31
ASTRAL,EQ,10-Apr-2026,1563.70,1577.00,1639.60,1567.60,1625.00,1630.00,1616.03,1127663,18223.40,44331,512919,45.49
ATGL,EQ,10-Apr-2026,549.90,552.95,585.60,551.40,582.00,581.05,575.73,7676199,44194.16,107856,1333166,17.37
ATHERENERG,EQ,10-Apr-2026,820.25,835.00,875.45,830.35,857.80,863.05,853.32,8455968,72156.81,158836,1806155,21.36
ATUL,EQ,10-Apr-2026,6456.50,6456.50,6520.00,6403.50,6470.00,6450.00,6478.04,23083,1495.33,4408,14030,60.78
AUBANK,EQ,10-Apr-2026,963.00,963.00,986.25,963.00,980.00,981.80,980.16,1870250,18331.41,66114,874602,46.76
AUROPHARMA,EQ,10-Apr-2026,1340.40,1345.00,1355.00,1336.80,1352.00,1349.40,1347.52,907020,12222.27,36088,446102,49.18
AWL,EQ,10-Apr-2026,177.10,178.00,184.86,177.81,182.05,182.26,182.03,4284850,7799.71,35787,1717191,40.08
AXISBANK,EQ,10-Apr-2026,1318.50,1328.80,1358.60,1326.10,1351.10,1350.80,1349.85,6755589,91190.59,119833,4050573,59.96
BAJAJ-AUTO,EQ,10-Apr-2026,9517.00,9400.00,9844.00,9399.50,9830.50,9813.50,9729.93,738971,71901.37,83771,374659,50.70
BAJAJFINSV,EQ,10-Apr-2026,1767.70,1777.80,1814.90,1776.10,1809.50,1809.20,1802.68,983497,17729.29,68199,541093,55.02
BAJAJHFL,EQ,10-Apr-2026,83.89,84.05,86.50,84.02,85.99,85.94,85.91,7455011,6404.56,40054,3488240,46.79
BAJAJHLDNG,EQ,10-Apr-2026,9912.50,9990.00,10118.50,9924.00,10024.50,9997.50,10014.82,42980,4304.37,11236,21105,49.10
BAJFINANCE,EQ,10-Apr-2026,903.25,915.75,927.30,912.30,922.00,924.55,920.65,9491544,87383.85,126030,5829940,61.42
BALKRISIND,EQ,10-Apr-2026,2220.90,2247.00,2291.00,2232.10,2262.00,2268.90,2270.64,238026,5404.71,18132,173307,72.81
BALRAMCHIN,EQ,10-Apr-2026,477.70,478.60,482.40,472.50,473.00,473.50,477.09,546739,2608.43,25973,253185,46.31
BANDHANBNK,EQ,10-Apr-2026,165.94,165.94,169.86,165.89,168.00,168.07,168.13,6042821,10159.69,32163,1759772,29.12
BANKBARODA,EQ,10-Apr-2026,274.24,277.43,278.65,273.65,276.43,276.19,275.96,10543042,29094.26,142483,4437128,42.09
BANKINDIA,EQ,10-Apr-2026,144.29,146.50,148.49,145.75,147.95,147.93,147.34,9728052,14333.02,40358,2898537,29.80
BATAINDIA,EQ,10-Apr-2026,701.20,708.50,718.50,702.00,718.00,715.45,713.52,139166,992.98,9847,56875,40.87
BAYERCROP,EQ,10-Apr-2026,4808.90,4751.80,4850.00,4751.70,4814.00,4805.30,4821.25,16436,792.42,6154,9018,54.87
BBTC,EQ,10-Apr-2026,1445.40,1440.10,1502.00,1440.10,1486.00,1487.40,1486.40,100823,1498.64,9176,49158,48.76
BDL,EQ,10-Apr-2026,1325.50,1338.00,1362.00,1332.00,1345.00,1345.90,1349.35,1216787,16418.77,36365,303471,24.94
BEL,EQ,10-Apr-2026,439.75,444.10,447.45,440.45,442.30,442.45,443.24,10833065,48016.67,106223,4384644,40.47
BELRISE,EQ,10-Apr-2026,202.23,204.25,209.04,203.17,206.00,206.09,205.97,7578375,15609.06,50216,2271910,29.98
BEML,EQ,10-Apr-2026,1602.70,1611.00,1655.00,1609.50,1625.80,1621.20,1631.37,202768,3307.90,16154,62466,30.81
