SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,19-Sep-2025,1102.10,1102.30,1104.00,1075.00,1082.00,1080.80,1083.18,857322,9286.38,29732,573002,66.84
3MINDIA,EQ,19-Sep-2025,30375.00,30500.00,30520.00,29745.00,30050.00,29915.00,30035.81,5608,1684.41,2904,3621,64.57
AADHARHFC,EQ,19-Sep-2025,538.55,538.60,542.00,530.30,540.00,539.15,536.26,339996,1823.26,9748,174675,51.38
AARTIIND,EQ,19-Sep-2025,390.90,392.30,395.30,390.45,393.90,393.20,393.21,579074,2276.99,15373,303013,52.33
AAVAS,EQ,19-Sep-2025,1649.90,1649.90,1677.80,1646.00,1672.00,1670.60,1668.03,289604,4830.67,23927,228262,78.82
ABB,EQ,19-Sep-2025,5436.00,5458.80,5464.70,5418.00,5442.00,5436.90,5438.89,272034,14795.62,17842,195128,71.73
ABBOTINDIA,EQ,19-Sep-2025,30890.00,31000.00,31055.00,30130.00,30300.00,30365.00,30530.76,12743,3890.54,5746,8891,69.77
ABCAPITAL,EQ,19-Sep-2025,290.90,290.95,292.30,288.50,289.55,289.15,290.06,4509263,13079.55,35585,2990699,66.32
ABDL,EQ,19-Sep-2025,550.40,555.00,560.00,547.00,551.70,549.65,553.23,309832,1714.08,10344,159888,51.60
ABFRL,EQ,19-Sep-2025,89.88,90.20,93.15,89.31,92.15,92.11,91.63,15265494,13988.02,55407,5856073,38.36
ABLBL,EQ,19-Sep-2025,146.19,146.00,146.00,140.12,142.00,141.44,142.23,3103733,4414.37,24234,1885688,60.76
ABREL,EQ,19-Sep-2025,1903.50,1903.50,1932.90,1870.10,1892.00,1886.70,1900.52,120142,2283.32,14293,54837,45.64
ABSLAMC,EQ,19-Sep-2025,819.35,818.00,827.70,817.60,826.00,824.90,822.47,410174,3373.57,17880,287744,70.15
ACC,EQ,19-Sep-2025,1858.10,1875.50,1888.00,1860.00,1871.00,1879.10,1874.91,483333,9062.05,23275,237149,49.07
ACE,EQ,19-Sep-2025,1145.10,1151.00,1170.00,1143.20,1148.30,1150.00,1156.01,444642,5140.09,23260,169529,38.13
ACMESOLAR,EQ,19-Sep-2025,303.85,303.30,303.45,292.70,295.95,295.00,296.10,1347227,3989.14,29922,698004,51.81
ACUTAAS,EQ,19-Sep-2025,1471.00,1476.90,1507.10,1436.60,1475.00,1458.10,1463.73,861253,12606.43,46410,576191,66.90
ADANIENSOL,EQ,19-Sep-2025,837.60,865.00,899.00,855.20,878.95,877.15,877.35,8119554,71237.01,134879,1417838,17.46
ADANIENT,EQ,19-Sep-2025,2402.00,2495.00,2579.00,2466.10,2528.00,2524.00,2520.01,7965135,200722.48,238677,1262529,15.85
ADANIGREEN,EQ,19-Sep-2025,978.90,1025.00,1071.00,1003.00,1032.50,1030.70,1034.21,17650332,182542.15,281147,4058181,22.99
ADANIPORTS,EQ,19-Sep-2025,1412.80,1447.80,1460.00,1425.00,1429.00,1427.80,1438.94,8069167,116110.40,156496,2159635,26.76
ADANIPOWER,EQ,19-Sep-2025,631.35,676.00,723.00,665.35,716.10,709.40,698.61,86324006,603066.22,879108,14146055,16.39
AEGISLOG,EQ,19-Sep-2025,784.75,781.55,796.80,779.00,795.15,791.55,788.59,652179,5142.99,15653,396792,60.84
AEGISVOPAK,EQ,19-Sep-2025,239.59,239.59,245.35,238.73,242.74,242.47,243.39,692620,1685.79,9436,499443,72.11
AFCONS,EQ,19-Sep-2025,455.00,454.05,475.00,442.90,468.25,461.65,459.91,2154882,9910.47,44950,1354580,62.86
AFFLE,EQ,19-Sep-2025,2104.80,2104.80,2185.00,2095.00,2143.00,2145.20,2153.98,644067,13873.07,43172,346892,53.86
AIAENG,EQ,19-Sep-2025,3136.60,3136.60,3139.90,3055.10,3080.00,3074.90,3087.01,101114,3121.40,19376,70454,69.68
AIIL,EQ,19-Sep-2025,3197.80,3227.30,3227.30,3105.00,3130.00,3160.40,3161.86,1364770,43152.09,51264,843432,61.80
AJANTPHARM,EQ,19-Sep-2025,2548.40,2540.00,2560.10,2527.50,2545.00,2544.60,2545.07,75435,1919.87,16341,43538,57.72
ALKEM,EQ,19-Sep-2025,5479.50,5486.00,5575.50,5481.00,5554.00,5541.50,5536.91,383661,21242.97,27271,281310,73.32
AMBER,EQ,19-Sep-2025,8261.00,8250.00,8334.00,8243.50,8283.50,8286.50,8295.82,186818,15498.09,21459,71154,38.09
AMBUJACEM,EQ,19-Sep-2025,581.00,588.00,588.50,578.20,582.80,582.45,583.43,3482230,20316.25,60293,1601109,45.98
ANANDRATHI,EQ,19-Sep-2025,3065.60,3065.00,3081.00,3015.60,3029.90,3042.00,3049.18,102587,3128.06,12877,55646,54.24
ANANTRAJ,EQ,19-Sep-2025,585.50,586.10,647.80,580.15,639.00,640.40,624.51,23024363,143790.21,317508,4499090,19.54
ANGELONE,EQ,19-Sep-2025,2265.60,2252.60,2278.00,2235.00,2263.80,2266.60,2256.97,494144,11152.67,27008,164070,33.20
ANTHEM,EQ,19-Sep-2025,857.05,856.85,862.90,843.00,846.50,846.10,850.63,294500,2505.12,14849,140266,47.63
ANURAS,EQ,19-Sep-2025,1086.80,1090.00,1098.60,1069.00,1081.00,1078.00,1078.41,170419,1837.82,8926,81677,47.93
APARINDS,EQ,19-Sep-2025,8943.00,8942.00,8979.00,8705.50,8880.00,8847.00,8848.36,60133,5320.79,12409,28554,47.48
APLAPOLLO,EQ,19-Sep-2025,1696.90,1690.00,1699.00,1668.20,1694.00,1691.10,1685.53,694289,11702.45,34943,449068,64.68
APOLLOHOSP,EQ,19-Sep-2025,7850.50,7850.50,7876.50,7798.50,7805.00,7806.50,7816.35,207129,16189.93,27286,161284,77.87
APOLLOTYRE,EQ,19-Sep-2025,484.55,485.00,485.05,476.05,482.00,480.65,480.94,947737,4558.05,15239,520073,54.88
APTUS,EQ,19-Sep-2025,329.50,329.50,335.00,328.75,329.95,332.70,332.48,5779162,19214.36,55908,3673172,63.56
ARE&M,EQ,19-Sep-2025,1030.95,1034.90,1039.75,1013.00,1018.00,1019.55,1026.98,871471,8949.81,31094,477540,54.80
ASAHIINDIA,EQ,19-Sep-2025,916.75,916.05,916.05,871.10,881.00,878.60,883.17,553300,4886.59,21123,308567,55.77
ASHOKLEY,EQ,19-Sep-2025,138.76,139.00,142.63,138.89,141.05,140.89,141.00,29812677,42036.07,133632,13372478,44.86
ASIANPAINT,EQ,19-Sep-2025,2478.70,2475.00,2509.50,2468.50,2495.80,2481.70,2485.15,3731525,92734.02,68897,2630702,70.50
ASTERDM,EQ,19-Sep-2025,613.90,614.95,658.65,614.20,645.50,650.55,643.11,3059405,19675.21,82372,1468204,47.99
ASTRAL,EQ,19-Sep-2025,1459.20,1460.00,1469.80,1447.00,1454.30,1452.40,1453.41,716952,10420.23,17287,515126,71.85
ATGL,EQ,19-Sep-2025,606.95,635.00,687.75,634.25,652.80,651.45,663.15,16380380,108626.60,262126,2043539,12.48
ATHERENERG,EQ,19-Sep-2025,562.50,560.00,589.00,557.10,580.10,584.50,576.14,2683018,15457.85,54721,727109,27.10
ATUL,EQ,19-Sep-2025,6545.00,6549.00,6569.50,6291.00,6323.00,6341.00,6382.78,34058,2173.85,7853,18506,54.34
AUBANK,EQ,19-Sep-2025,719.65,719.65,724.00,711.25,716.65,718.70,717.25,3207374,23004.77,50161,2013515,62.78
AUROPHARMA,EQ,19-Sep-2025,1128.90,1130.00,1138.00,1116.90,1120.40,1119.20,1125.56,958952,10793.60,27489,407322,42.48
AWL,EQ,19-Sep-2025,259.60,264.00,267.85,252.05,254.30,256.95,258.85,12640297,32718.97,105748,6675139,52.81
AXISBANK,EQ,19-Sep-2025,1133.00,1133.00,1144.10,1126.60,1140.00,1135.90,1136.98,8910732,101313.47,93827,6651217,74.64
BAJAJ-AUTO,EQ,19-Sep-2025,9075.00,9050.00,9063.50,8950.50,8976.00,8971.50,8988.12,467648,42032.78,39541,339804,72.66
BAJAJFINSV,EQ,19-Sep-2025,2069.20,2069.00,2077.20,2053.70,2070.50,2067.30,2065.57,1973991,40774.19,58929,1328146,67.28
BAJAJHFL,EQ,19-Sep-2025,114.80,114.23,114.78,114.15,114.75,114.58,114.45,2684759,3072.65,21586,1452330,54.10
BAJAJHLDNG,EQ,19-Sep-2025,13467.00,13469.00,13520.00,13152.00,13280.00,13206.00,13245.81,95999,12715.85,19161,60912,63.45
BAJFINANCE,EQ,19-Sep-2025,996.50,991.00,996.00,988.60,994.00,992.45,992.70,6736440,66872.44,81918,4668511,69.30
BALKRISIND,EQ,19-Sep-2025,2508.60,2500.60,2550.00,2490.00,2526.90,2522.70,2520.83,160221,4038.90,23075,95100,59.36
BALRAMCHIN,EQ,19-Sep-2025,516.25,517.95,517.95,508.00,508.15,509.75,511.47,330675,1691.30,17013,193078,58.39
BANDHANBNK,EQ,19-Sep-2025,166.91,167.00,168.25,165.05,167.25,167.08,166.80,4457698,7435.53,24248,2051579,46.02
BANKBARODA,EQ,19-Sep-2025,248.95,249.50,254.40,249.00,252.01,252.08,252.40,16173486,40821.17,91831,8405795,51.97
BANKINDIA,EQ,19-Sep-2025,119.01,119.00,121.25,118.92,120.30,120.47,120.50,8984418,10825.99,37637,4400401,48.98
BATAINDIA,EQ,19-Sep-2025,1245.80,1246.00,1255.00,1232.50,1242.00,1237.70,1241.15,229220,2844.97,12246,165585,72.24
BAYERCROP,EQ,19-Sep-2025,5197.50,5200.00,5489.00,5179.00,5360.00,5347.00,5335.29,168651,8998.02,14683,117412,69.62
BBTC,EQ,19-Sep-2025,1954.70,1968.90,1968.90,1928.00,1942.00,1936.40,1942.35,40332,783.39,4401,20239,50.18
BDL,EQ,19-Sep-2025,1610.20,1609.00,1644.10,1606.10,1630.00,1631.60,1627.96,2081434,33884.84,56986,702956,33.77
BEL,EQ,19-Sep-2025,409.90,409.00,413.45,408.25,409.45,408.90,409.99,16150731,66215.71,117284,11194397,69.31
BELRISE,EQ,19-Sep-2025,154.38,153.71,159.90,153.17,157.08,157.00,157.40,12555279,19761.79,62394,4227918,33.67
BEML,EQ,19-Sep-2025,4354.90,4363.90,4404.90,4336.20,4342.00,4356.20,4375.29,250202,10947.06,21920,106152,42.43
BERGEPAINT,EQ,19-Sep-2025,535.35,538.00,540.70,530.20,531.00,531.60,532.85,866877,4619.18,23937,600559,69.28
BHARATFORG,EQ,19-Sep-2025,1268.60,1267.00,1275.60,1253.60,1273.60,1272.70,1266.10,1013984,12838.01,31881,675084,66.58
BHARTIARTL,EQ,19-Sep-2025,1941.10,1930.20,1976.80,1927.80,1959.90,1962.40,1954.25,11287603,220588.14,152101,7707060,68.28
BHARTIHEXA,EQ,19-Sep-2025,1711.00,1711.00,1725.70,1691.50,1713.00,1714.70,1707.93,195700,3342.41,16662,114288,58.40
BHEL,EQ,19-Sep-2025,234.49,233.94,241.35,233.71,238.40,237.17,238.67,14496280,34598.38,110266,6275743,43.29
BIKAJI,EQ,19-Sep-2025,777.00,782.00,794.10,776.00,787.90,788.25,784.95,131383,1031.29,6423,76686,58.37
BIOCON,EQ,19-Sep-2025,368.40,370.60,373.85,367.60,368.80,369.20,370.05,14210253,52585.71,70027,9291588,65.39
BLS,EQ,19-Sep-2025,369.15,369.00,369.00,364.20,365.45,365.35,366.09,677863,2481.61,15074,400583,59.09
BLUEDART,EQ,19-Sep-2025,5861.00,5861.00,5917.50,5739.00,5753.00,5762.00,5775.67,17804,1028.30,3513,11410,64.09
BLUEJET,EQ,19-Sep-2025,683.30,686.35,691.70,671.85,680.00,679.45,680.52,1117985,7608.14,19437,765341,68.46
BLUESTARCO,EQ,19-Sep-2025,1961.00,1956.00,1969.00,1935.90,1963.10,1963.80,1955.05,433161,8468.53,24912,257946,59.55
BOSCHLTD,EQ,19-Sep-2025,39885.00,39985.00,40130.00,39400.00,39800.00,39790.00,39730.26,31662,12579.39,10801,21314,67.32
BPCL,EQ,19-Sep-2025,325.70,325.60,334.00,324.80,330.15,329.55,330.52,10022009,33125.08,75475,5251907,52.40
BRIGADE,EQ,19-Sep-2025,953.25,955.35,956.55,931.05,936.00,937.35,939.07,484950,4554.04,26654,323081,66.62
BRITANNIA,EQ,19-Sep-2025,6100.50,6105.50,6110.00,6048.00,6083.50,6069.50,6073.63,345995,21014.46,31210,258877,74.82
BSE,EQ,19-Sep-2025,2198.30,2200.00,2212.00,2180.00,2187.00,2182.60,2192.09,2777471,60884.69,94251,1162251,41.85
