SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,25-Feb-2026,1113.40,1120.00,1137.30,1104.50,1137.30,1131.80,1125.57,682336,7680.19,24917,404683,59.31
3MINDIA,EQ,25-Feb-2026,35875.00,36000.00,36695.00,35740.00,36675.00,36440.00,36228.63,3213,1164.03,2112,1560,48.55
AADHARHFC,EQ,25-Feb-2026,452.35,452.00,459.30,434.20,455.00,457.25,451.54,2158969,9748.51,38322,1361664,63.07
AARTIIND,EQ,25-Feb-2026,449.80,451.00,458.35,448.10,455.50,456.35,453.73,470877,2136.50,16237,251870,53.49
AAVAS,EQ,25-Feb-2026,1269.20,1269.20,1294.90,1247.00,1282.90,1285.90,1271.10,232503,2955.34,32097,153005,65.81
ABB,EQ,25-Feb-2026,6056.00,6101.00,6180.00,6046.50,6158.00,6167.50,6142.14,363747,22341.86,37983,132144,36.33
ABBOTINDIA,EQ,25-Feb-2026,26365.00,26485.00,26500.00,26100.00,26415.00,26410.00,26307.44,5546,1459.01,3381,3027,54.58
ABCAPITAL,EQ,25-Feb-2026,349.30,351.50,360.00,350.20,352.90,353.10,355.11,16813613,59707.34,53791,11142723,66.27
ABDL,EQ,25-Feb-2026,495.80,502.00,503.00,484.90,487.10,489.95,490.70,214609,1053.09,9563,106218,49.49
ABFRL,EQ,25-Feb-2026,68.80,68.33,69.80,68.33,68.68,68.91,68.97,1019290,703.04,8996,398531,39.10
ABLBL,EQ,25-Feb-2026,104.44,104.51,105.80,103.71,104.95,104.42,104.87,1537561,1612.47,8738,1238112,80.52
ABREL,EQ,25-Feb-2026,1267.80,1267.80,1287.80,1254.00,1263.00,1262.40,1268.47,64750,821.33,6626,29842,46.09
ABSLAMC,EQ,25-Feb-2026,927.15,927.15,933.95,905.40,910.10,911.50,919.09,255263,2346.11,12312,140700,55.12
ACC,EQ,25-Feb-2026,1619.10,1620.20,1631.60,1618.00,1625.30,1623.90,1624.32,99578,1617.47,8794,48007,48.21
ACE,EQ,25-Feb-2026,865.55,868.00,876.65,866.10,871.00,871.20,870.47,78846,686.33,5761,37635,47.73
ACMESOLAR,EQ,25-Feb-2026,231.60,231.89,234.50,226.08,234.00,233.92,232.80,618522,1439.95,9016,390266,63.10
ACUTAAS,EQ,25-Feb-2026,2152.30,2178.20,2178.20,2128.90,2167.00,2165.90,2155.33,179632,3871.66,19389,85896,47.82
ADANIENSOL,EQ,25-Feb-2026,1037.10,1041.00,1051.80,1007.55,1021.70,1013.00,1022.50,1394329,14257.04,38151,546889,39.22
ADANIENT,EQ,25-Feb-2026,2183.00,2193.20,2237.30,2180.10,2225.00,2231.70,2210.01,1474187,32579.68,63011,635817,43.13
ADANIGREEN,EQ,25-Feb-2026,981.35,984.95,988.60,960.00,963.00,964.15,970.04,1345367,13050.65,26908,351798,26.15
ADANIPORTS,EQ,25-Feb-2026,1555.40,1567.00,1584.00,1518.50,1529.00,1528.70,1545.77,2153982,33295.50,74386,880599,40.88
ADANIPOWER,EQ,25-Feb-2026,144.31,144.70,145.60,139.81,140.50,140.54,142.21,17864508,25405.93,87070,8839253,49.48
AEGISLOG,EQ,25-Feb-2026,699.50,710.00,734.50,704.60,724.05,727.45,721.47,1092061,7878.86,32116,239665,21.95
AEGISVOPAK,EQ,25-Feb-2026,227.80,225.00,240.01,224.52,236.00,235.69,234.65,1438355,3375.10,26572,232001,16.13
AFCONS,EQ,25-Feb-2026,308.00,306.00,310.00,294.50,307.10,307.75,301.49,1103904,3328.15,53815,467413,42.34
AFFLE,EQ,25-Feb-2026,1398.50,1404.50,1416.50,1349.00,1375.00,1373.60,1374.18,495748,6812.48,41897,234333,47.27
AIAENG,EQ,25-Feb-2026,3859.60,3860.00,3932.50,3813.80,3880.30,3912.10,3885.51,43568,1692.84,8399,27118,62.24
AIIL,EQ,25-Feb-2026,496.65,500.00,500.00,490.00,490.00,492.65,493.96,150117,741.51,11700,68664,45.74
