SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,23-Dec-2025,1165.50,1169.90,1186.60,1158.00,1177.00,1181.70,1178.56,473322,5578.40,26095,210417,44.46
3MINDIA,EQ,23-Dec-2025,35435.00,35300.00,35845.00,34880.00,35090.00,35010.00,35251.44,2339,824.53,1719,1043,44.59
AADHARHFC,EQ,23-Dec-2025,488.55,488.55,489.55,480.50,481.30,480.85,482.47,170867,824.38,6712,107026,62.64
AARTIIND,EQ,23-Dec-2025,374.95,375.95,392.70,373.40,380.60,383.40,386.81,1862889,7205.82,35615,600816,32.25
AAVAS,EQ,23-Dec-2025,1457.80,1465.50,1491.90,1456.00,1486.00,1483.00,1475.98,293162,4327.00,25571,200766,68.48
ABB,EQ,23-Dec-2025,5181.00,5185.00,5215.00,5151.00,5212.00,5204.00,5190.91,64953,3371.65,8600,32688,50.33
ABBOTINDIA,EQ,23-Dec-2025,28010.00,28200.00,28600.00,27885.00,28260.00,28295.00,28268.50,6431,1817.95,3633,3223,50.12
ABCAPITAL,EQ,23-Dec-2025,346.10,348.00,348.75,344.30,346.80,346.80,346.51,2418910,8381.71,40703,1245891,51.51
ABDL,EQ,23-Dec-2025,627.35,630.40,633.00,623.00,627.00,626.30,627.48,163369,1025.11,6089,79725,48.80
ABFRL,EQ,23-Dec-2025,77.45,77.78,79.36,77.05,78.45,78.63,78.05,9892607,7720.78,22095,7534400,76.16
ABLBL,EQ,23-Dec-2025,119.93,119.93,121.80,117.95,120.07,120.44,120.22,9070159,10904.32,40481,7473020,82.39
ABREL,EQ,23-Dec-2025,1744.00,1744.00,1750.50,1717.00,1723.10,1722.20,1734.41,68321,1184.96,8134,30434,44.55
ABSLAMC,EQ,23-Dec-2025,762.30,766.00,782.95,758.60,779.80,775.85,769.92,207495,1597.54,13460,103020,49.65
ACC,EQ,23-Dec-2025,1782.50,1794.90,1804.80,1746.00,1751.50,1754.20,1762.09,873238,15387.21,39055,400802,45.90
ACE,EQ,23-Dec-2025,954.95,961.00,981.75,952.80,971.50,973.75,967.85,323855,3134.42,14326,162976,50.32
