SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,06-Aug-2025,1065.80,1069.90,1075.50,1050.70,1053.10,1056.80,1057.74,406828,4303.19,21040,247860,60.93
3MINDIA,EQ,06-Aug-2025,30835.00,31105.00,31105.00,30535.00,30950.00,30885.00,30795.61,4292,1321.75,2397,2472,57.60
AADHARHFC,EQ,06-Aug-2025,499.45,499.45,501.40,494.05,495.05,495.55,496.26,301568,1496.56,23582,176762,58.61
AARTIIND,EQ,06-Aug-2025,383.60,384.90,387.65,377.15,385.40,386.10,382.81,1679499,6429.37,37042,822542,48.98
AAVAS,EQ,06-Aug-2025,1710.00,1702.90,1727.20,1684.00,1700.00,1704.70,1699.94,44819,761.89,7184,18162,40.52
ABB,EQ,06-Aug-2025,5084.00,5124.00,5124.00,5024.50,5090.00,5097.00,5069.59,385429,19539.68,36642,170928,44.35
ABBOTINDIA,EQ,06-Aug-2025,33255.00,33320.00,33500.00,32415.00,32500.00,32605.00,32680.49,8725,2851.37,4060,4109,47.09
ABCAPITAL,EQ,06-Aug-2025,282.00,282.00,283.40,276.45,277.25,277.15,280.10,5716110,16010.67,49012,1911546,33.44
ABDL,EQ,06-Aug-2025,509.40,510.70,511.00,491.60,496.55,496.80,500.12,420815,2104.57,13418,194789,46.29
ABFRL,EQ,06-Aug-2025,75.17,75.80,77.60,75.04,76.30,76.46,76.35,13101425,10003.45,45753,5098707,38.92
ABLBL,EQ,06-Aug-2025,135.87,136.94,137.95,133.32,136.22,136.65,135.36,1357544,1837.60,14099,755586,55.66
ABREL,EQ,06-Aug-2025,1910.00,1904.80,1912.80,1873.00,1892.00,1896.20,1890.64,34284,648.19,7305,15267,44.53
ABSLAMC,EQ,06-Aug-2025,860.30,858.50,867.05,838.95,852.80,854.75,855.57,274569,2349.12,25718,107579,39.18
ACC,EQ,06-Aug-2025,1801.80,1807.20,1838.80,1798.60,1826.20,1830.40,1824.37,695635,12690.92,39002,273074,39.26
ACE,EQ,06-Aug-2025,1093.60,1095.80,1100.00,1075.00,1084.00,1080.90,1082.95,90813,983.46,10209,43338,47.72
ACMESOLAR,EQ,06-Aug-2025,271.90,271.95,274.85,263.25,266.40,266.40,266.46,895144,2385.24,17932,404695,45.21
ACUTAAS,EQ,06-Aug-2025,1342.10,1337.00,1337.00,1298.00,1307.00,1315.60,1313.93,320476,4210.84,30436,165375,51.60
ADANIENSOL,EQ,06-Aug-2025,802.05,802.10,802.15,779.05,794.95,791.10,790.24,15323608,121094.01,40140,12781508,83.41
ADANIENT,EQ,06-Aug-2025,2328.20,2333.90,2347.90,2296.00,2300.00,2300.30,2311.60,631582,14599.66,35196,192919,30.55
ADANIGREEN,EQ,06-Aug-2025,971.75,975.90,977.50,955.00,958.00,957.55,964.35,1204140,11612.15,37360,316991,26.33
ADANIPORTS,EQ,06-Aug-2025,1358.10,1374.00,1386.90,1358.10,1366.90,1367.10,1370.55,2293293,31430.66,81834,616109,26.87
ADANIPOWER,EQ,06-Aug-2025,579.50,579.95,581.95,565.60,567.00,567.45,571.60,1520912,8693.54,35698,598689,39.36
AEGISLOG,EQ,06-Aug-2025,721.25,725.50,727.50,708.40,710.25,712.15,717.73,326054,2340.19,24790,57704,17.70
AEGISVOPAK,EQ,06-Aug-2025,246.53,248.94,249.71,239.99,243.00,243.35,243.48,604106,1470.90,17837,307527,50.91
AFCONS,EQ,06-Aug-2025,407.55,405.00,406.85,401.55,403.00,403.45,403.77,307206,1240.41,14465,153700,50.03
AFFLE,EQ,06-Aug-2025,1958.80,1960.00,1989.00,1934.80,1951.40,1950.20,1958.53,141329,2767.98,20538,68453,48.44
AIAENG,EQ,06-Aug-2025,3142.00,3146.00,3213.70,3134.10,3190.00,3190.50,3179.46,39080,1242.53,13661,21707,55.55
AIIL,EQ,06-Aug-2025,2876.20,2876.50,2904.00,2811.00,2900.00,2900.10,2877.18,146727,4221.59,15799,50005,34.08
AJANTPHARM,EQ,06-Aug-2025,2635.80,2615.00,2645.00,2524.80,2539.80,2541.40,2568.74,106341,2731.63,18678,57233,53.82
ALKEM,EQ,06-Aug-2025,4921.00,4929.00,4929.00,4804.00,4840.00,4871.00,4854.18,141906,6888.37,14665,86765,61.14
AMBER,EQ,06-Aug-2025,7891.50,7850.00,7878.00,7565.50,7632.00,7628.00,7649.31,397729,30423.52,56726,184416,46.37
AMBUJACEM,EQ,06-Aug-2025,602.70,605.00,606.85,588.15,589.00,589.90,594.26,1895039,11261.51,23410,1057451,55.80
ANANDRATHI,EQ,06-Aug-2025,2637.70,2635.80,2640.00,2581.30,2621.10,2630.70,2616.11,77132,2017.86,8630,34162,44.29
ANANTRAJ,EQ,06-Aug-2025,559.55,560.15,568.50,540.15,542.00,543.20,552.10,1661672,9174.17,32437,702612,42.28
ANGELONE,EQ,06-Aug-2025,2601.30,2607.90,2639.00,2542.40,2604.80,2610.90,2592.82,1180598,30610.81,69556,277775,23.53
ANTHEM,EQ,06-Aug-2025,736.70,735.45,739.95,711.55,721.00,724.50,725.71,908026,6589.60,36804,367464,40.47
ANURAS,EQ,06-Aug-2025,1143.80,1141.00,1153.90,1115.00,1153.00,1135.50,1134.72,38651,438.58,2839,18574,48.06
APARINDS,EQ,06-Aug-2025,8949.50,9027.00,9027.00,8830.00,8853.00,8887.50,8916.72,60665,5409.33,15880,21588,35.59
APLAPOLLO,EQ,06-Aug-2025,1603.50,1617.00,1617.00,1561.00,1564.10,1569.10,1579.37,998317,15767.11,43949,701470,70.27
APOLLOHOSP,EQ,06-Aug-2025,7274.00,7270.00,7279.00,7164.50,7180.50,7189.50,7212.82,296623,21394.88,57470,211689,71.37
APOLLOTYRE,EQ,06-Aug-2025,439.85,439.85,443.85,431.10,436.00,435.10,436.62,417114,1821.20,20594,150738,36.14
