SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,24-Dec-2025,1181.70,1190.00,1217.00,1180.30,1196.00,1196.00,1202.22,1291909,15531.59,34524,492214,38.10
3MINDIA,EQ,24-Dec-2025,35010.00,35010.00,35370.00,34400.00,34575.00,34575.00,34803.84,1768,615.33,1150,938,53.05
AADHARHFC,EQ,24-Dec-2025,480.85,480.85,487.95,480.60,487.00,486.90,485.97,357866,1739.12,17702,266182,74.38
AARTIIND,EQ,24-Dec-2025,383.40,384.00,384.75,376.35,378.80,379.70,381.04,339257,1292.71,10003,163485,48.19
AAVAS,EQ,24-Dec-2025,1483.00,1490.80,1517.80,1471.30,1508.90,1511.80,1500.12,135273,2029.26,21161,64832,47.93
ABB,EQ,24-Dec-2025,5204.00,5212.50,5266.00,5202.00,5202.50,5215.00,5238.44,103441,5418.70,14246,49146,47.51
ABBOTINDIA,EQ,24-Dec-2025,28295.00,28200.00,28805.00,27950.00,28750.00,28515.00,28453.11,22010,6262.53,2776,20023,90.97
ABCAPITAL,EQ,24-Dec-2025,346.80,347.00,355.35,346.25,347.00,347.40,351.20,4581179,16089.16,53714,2085939,45.53
ABDL,EQ,24-Dec-2025,626.30,626.30,632.95,618.05,620.60,621.45,626.47,177411,1111.42,7531,74340,41.90
ABFRL,EQ,24-Dec-2025,78.63,79.06,79.46,77.65,77.71,77.92,78.27,10029867,7850.54,47445,7557591,75.35
ABLBL,EQ,24-Dec-2025,120.44,120.00,124.00,119.44,122.90,123.03,121.11,8572407,10382.22,30283,7299027,85.15
ABREL,EQ,24-Dec-2025,1722.20,1716.80,1743.00,1691.20,1694.10,1697.80,1710.36,79125,1353.32,9871,29735,37.58
ABSLAMC,EQ,24-Dec-2025,775.85,780.00,781.55,771.00,775.95,773.70,774.81,157387,1219.45,8081,90861,57.73
ACC,EQ,24-Dec-2025,1754.20,1755.00,1760.10,1735.00,1739.50,1739.40,1743.40,419682,7316.75,24016,256399,61.09
ACE,EQ,24-Dec-2025,973.75,970.70,981.40,959.00,960.20,960.70,967.21,98759,955.21,8751,50877,51.52
ACMESOLAR,EQ,24-Dec-2025,235.94,237.49,242.40,235.00,236.00,237.06,239.10,836710,2000.58,20983,314157,37.55
ACUTAAS,EQ,24-Dec-2025,1694.90,1693.90,1693.90,1650.00,1652.00,1653.30,1661.15,177396,2946.82,18612,102188,57.60
ADANIENSOL,EQ,24-Dec-2025,994.60,996.25,1007.00,990.10,996.90,996.55,998.95,317485,3171.50,14345,84662,26.67
ADANIENT,EQ,24-Dec-2025,2248.80,2250.00,2258.80,2217.40,2218.00,2222.70,2238.00,825693,18479.03,27346,394423,47.77
ADANIGREEN,EQ,24-Dec-2025,1016.90,1018.00,1024.30,1012.20,1012.60,1015.00,1018.86,835848,8516.12,19106,353503,42.29
ADANIPORTS,EQ,24-Dec-2025,1493.60,1503.00,1507.20,1492.00,1496.50,1494.30,1501.70,1318023,19792.70,43520,637794,48.39
ADANIPOWER,EQ,24-Dec-2025,144.30,144.70,144.70,142.67,143.08,143.16,143.28,7905799,11327.45,66080,4082571,51.64
AEGISLOG,EQ,24-Dec-2025,734.45,735.80,739.25,725.00,725.75,725.95,730.20,108809,794.52,6551,58881,54.11
AEGISVOPAK,EQ,24-Dec-2025,248.75,248.80,250.20,246.00,246.55,247.20,247.03,262598,648.69,14761,135514,51.61
AFCONS,EQ,24-Dec-2025,382.85,382.00,391.35,381.35,387.25,387.65,387.50,662375,2566.70,34038,457920,69.13
AFFLE,EQ,24-Dec-2025,1766.00,1778.70,1787.00,1750.20,1780.60,1780.60,1774.07,259861,4610.12,25496,175564,67.56
AIAENG,EQ,24-Dec-2025,3900.60,3900.60,3999.00,3870.20,3911.00,3941.90,3948.43,105669,4172.27,21540,63501,60.09
AIIL,EQ,24-Dec-2025,2883.80,2888.00,2931.90,2884.10,2920.00,2921.80,2913.75,55889,1628.47,8768,22515,40.29
AJANTPHARM,EQ,24-Dec-2025,2668.10,2747.00,2824.00,2712.90,2719.90,2734.50,2772.22,1012518,28069.25,74343,259917,25.67
ALKEM,EQ,24-Dec-2025,5597.00,5570.00,5593.00,5534.00,5552.00,5566.00,5559.68,41257,2293.76,6613,20989,50.87
AMBER,EQ,24-Dec-2025,6654.50,6655.00,6770.00,6613.00,6689.00,6660.00,6706.76,110715,7425.39,14729,19231,17.37
AMBUJACEM,EQ,24-Dec-2025,546.90,550.00,553.40,547.60,548.45,548.10,550.25,2136787,11757.70,33247,1013724,47.44
ANANDRATHI,EQ,24-Dec-2025,3030.50,3030.00,3085.00,3024.90,3070.00,3062.50,3062.62,126386,3870.72,12683,66893,52.93
ANANTRAJ,EQ,24-Dec-2025,558.25,557.10,573.90,555.00,565.40,566.80,566.65,1880938,10658.41,46812,561397,29.85
ANGELONE,EQ,24-Dec-2025,2557.10,2550.00,2576.00,2520.10,2524.00,2523.80,2545.29,410374,10445.20,20455,156357,38.10
ANTHEM,EQ,24-Dec-2025,669.60,669.00,672.90,666.00,667.90,667.90,669.40,64184,429.65,4375,27242,42.44
ANURAS,EQ,24-Dec-2025,1332.40,1312.00,1340.00,1307.10,1319.60,1321.00,1326.39,356028,4722.31,10281,78491,22.05
APARINDS,EQ,24-Dec-2025,8891.50,8925.00,8925.00,8666.00,8680.00,8690.00,8739.33,61120,5341.48,12252,39851,65.20
APLAPOLLO,EQ,24-Dec-2025,1867.90,1868.00,1874.60,1850.90,1852.90,1858.60,1862.41,251611,4686.03,15242,127258,50.58
APOLLOHOSP,EQ,24-Dec-2025,7073.50,7070.00,7209.50,7044.50,7177.00,7172.00,7169.65,351381,25192.77,32827,195872,55.74
APOLLOTYRE,EQ,24-Dec-2025,512.10,512.80,513.95,507.05,511.00,511.70,510.47,624578,3188.28,13295,393751,63.04
APTUS,EQ,24-Dec-2025,282.35,283.45,283.75,281.25,282.05,282.25,282.36,310022,875.39,13269,172970,55.79
ARE&M,EQ,24-Dec-2025,932.05,936.60,937.20,923.80,924.10,925.35,929.12,174716,1623.33,13950,99792,57.12
ASAHIINDIA,EQ,24-Dec-2025,986.30,990.00,990.10,966.00,967.90,969.90,973.96,47997,467.47,6465,26088,54.35
ASHOKLEY,EQ,24-Dec-2025,177.96,178.10,178.30,174.76,175.19,175.31,175.82,8846615,15553.99,80813,3849683,43.52
ASIANPAINT,EQ,24-Dec-2025,2807.80,2807.80,2824.70,2782.00,2786.00,2785.50,2800.01,512144,14340.08,31706,210321,41.07
ASTERDM,EQ,24-Dec-2025,597.35,594.50,599.75,591.00,598.30,597.20,596.11,841675,5017.29,34358,629331,74.77
ASTRAL,EQ,24-Dec-2025,1417.00,1419.90,1423.00,1392.20,1395.60,1396.60,1403.06,342797,4809.64,24339,180379,52.62
ATGL,EQ,24-Dec-2025,563.40,565.10,569.35,561.00,564.90,565.20,565.03,554316,3132.04,18090,169056,30.50
ATHERENERG,EQ,24-Dec-2025,706.35,708.50,739.45,707.00,721.30,721.75,723.87,3430861,24834.89,73382,981431,28.61
ATUL,EQ,24-Dec-2025,6090.50,6051.00,6090.00,6000.00,6047.50,6055.00,6042.41,33571,2028.50,3768,25702,76.56
AUBANK,EQ,24-Dec-2025,980.35,985.00,987.80,972.55,973.45,974.05,978.12,1552265,15183.02,28333,889284,57.29
AUROPHARMA,EQ,24-Dec-2025,1218.00,1220.90,1226.70,1208.70,1213.00,1211.40,1217.39,253901,3090.97,13439,114009,44.90
AWL,EQ,24-Dec-2025,239.35,239.00,240.50,236.50,237.15,236.95,238.31,1209241,2881.71,18420,668019,55.24
AXISBANK,EQ,24-Dec-2025,1225.00,1230.00,1235.40,1224.70,1225.90,1226.30,1229.10,3155506,38784.37,91089,2043462,64.76
BAJAJ-AUTO,EQ,24-Dec-2025,9099.00,9100.00,9194.50,9070.00,9174.00,9170.00,9155.31,167717,15355.02,18614,80566,48.04
BAJAJFINSV,EQ,24-Dec-2025,2047.60,2048.50,2064.50,2024.30,2036.60,2035.70,2043.63,1344198,27470.46,58944,907601,67.52
BAJAJHFL,EQ,24-Dec-2025,95.85,95.91,96.00,95.00,95.11,95.16,95.42,5148917,4912.86,39313,3404609,66.12
BAJAJHLDNG,EQ,24-Dec-2025,11279.00,11240.00,11302.00,11198.00,11220.00,11224.00,11234.99,16358,1837.82,5239,7960,48.66
BAJFINANCE,EQ,24-Dec-2025,1011.40,1011.00,1037.40,1006.00,1009.40,1011.70,1024.46,5984816,61312.29,137892,2754247,46.02
BALKRISIND,EQ,24-Dec-2025,2309.90,2310.00,2310.60,2292.00,2300.00,2299.20,2299.84,68924,1585.14,16572,32588,47.28
BALRAMCHIN,EQ,24-Dec-2025,442.80,442.80,444.50,438.10,439.80,440.30,441.52,167970,741.62,5330,87871,52.31
BANDHANBNK,EQ,24-Dec-2025,149.34,149.90,149.90,146.13,146.35,146.33,147.42,3955280,5830.97,25710,1981392,50.09
BANKBARODA,EQ,24-Dec-2025,292.50,293.60,293.80,289.90,290.55,290.55,291.33,3727361,10858.75,26440,2226960,59.75
BANKINDIA,EQ,24-Dec-2025,140.89,141.21,141.65,139.37,139.61,139.78,140.46,4090710,5745.65,23221,1717860,41.99
BATAINDIA,EQ,24-Dec-2025,950.40,955.00,955.00,946.50,950.00,949.60,950.29,46840,445.12,3442,24557,52.43
BAYERCROP,EQ,24-Dec-2025,4456.60,4469.00,4550.60,4455.60,4527.10,4526.90,4518.84,25153,1136.62,6547,13639,54.22
BBTC,EQ,24-Dec-2025,1894.20,1910.00,1925.00,1856.00,1869.00,1862.70,1876.47,39083,733.38,4931,18702,47.85
BDL,EQ,24-Dec-2025,1431.40,1434.00,1498.00,1426.70,1478.70,1481.20,1478.14,2713018,40102.17,81710,586546,21.62
BEL,EQ,24-Dec-2025,399.40,399.00,403.65,397.60,399.55,400.00,401.20,8097208,32486.18,209240,4616444,57.01
BELRISE,EQ,24-Dec-2025,168.23,170.99,177.28,168.00,172.85,172.83,172.55,39732761,68558.93,205610,6480648,16.31
BEML,EQ,24-Dec-2025,1837.00,1837.00,1874.00,1828.80,1864.00,1867.90,1857.65,320922,5961.61,24284,96983,30.22
BERGEPAINT,EQ,24-Dec-2025,544.05,545.00,556.70,542.10,551.10,555.15,551.46,287246,1584.05,17260,119981,41.77
BHARATFORG,EQ,24-Dec-2025,1460.20,1467.50,1470.60,1447.00,1451.00,1450.50,1458.61,406574,5930.31,22213,180337,44.36
BHARTIARTL,EQ,24-Dec-2025,2122.90,2111.00,2137.20,2111.00,2123.50,2123.70,2127.50,3145464,66919.75,98425,1522663,48.41
BHARTIHEXA,EQ,24-Dec-2025,1806.90,1807.00,1832.90,1794.00,1810.00,1816.50,1811.62,79270,1436.07,9466,46539,58.71
BHEL,EQ,24-Dec-2025,281.90,281.90,285.50,277.75,278.00,278.20,281.92,5866008,16537.22,43822,2614816,44.58
BIKAJI,EQ,24-Dec-2025,746.90,746.90,748.10,735.00,740.75,741.60,742.57,83483,619.92,8621,35958,43.07
BIOCON,EQ,24-Dec-2025,401.55,404.00,406.35,397.35,398.05,398.35,402.33,2707789,10894.32,45573,1339749,49.48
BLS,EQ,24-Dec-2025,322.50,323.50,324.45,321.50,323.80,323.85,323.23,486195,1571.55,10428,180695,37.17
BLUEDART,EQ,24-Dec-2025,5477.00,5477.00,5495.00,5421.50,5459.00,5440.00,5469.07,7377,403.45,1744,3780,51.24
BLUEJET,EQ,24-Dec-2025,549.55,554.00,555.00,536.00,538.50,538.50,542.98,150329,816.26,6365,87643,58.30
BLUESTARCO,EQ,24-Dec-2025,1766.40,1769.00,1792.80,1755.00,1779.50,1777.40,1774.99,165843,2943.69,14007,52506,31.66
BOSCHLTD,EQ,24-Dec-2025,36305.00,36210.00,36470.00,36010.00,36150.00,36195.00,36269.54,16626,6030.17,5426,9758,58.69
BPCL,EQ,24-Dec-2025,370.00,369.90,371.45,364.80,365.05,365.90,367.28,2339154,8591.16,37935,1150943,49.20
BRIGADE,EQ,24-Dec-2025,879.45,875.95,885.60,871.50,872.00,879.50,879.31,92480,813.19,7182,39798,43.03
BRITANNIA,EQ,24-Dec-2025,6061.00,6065.00,6078.00,6004.00,6016.00,6030.00,6032.72,97580,5886.73,16619,50291,51.54
BSE,EQ,24-Dec-2025,2737.50,2739.10,2749.00,2665.20,2671.40,2670.90,2706.88,3419371,92558.29,123789,1001724,29.30
BSOFT,EQ,24-Dec-2025,455.85,458.00,458.00,448.00,449.50,449.40,450.60,1147463,5170.52,23811,647176,56.40
CAMS,EQ,24-Dec-2025,760.20,759.00,774.90,755.10,758.00,760.10,767.20,1018580,7814.57,30395,360658,35.41
CANBK,EQ,24-Dec-2025,150.22,150.77,151.17,149.43,149.75,149.67,150.06,16461725,24702.88,73297,8173356,49.65
CANFINHOME,EQ,24-Dec-2025,929.15,929.15,948.50,922.00,946.20,947.05,941.68,132612,1248.78,6994,76472,57.67
