SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,13-May-2026,1078.10,1070.00,1100.00,1070.00,1084.90,1077.50,1089.13,568085,6187.21,20757,245968,43.30
3MINDIA,EQ,13-May-2026,31000.00,30790.00,31930.00,30790.00,31195.00,31070.00,31160.79,1265,394.18,920,559,44.19
AADHARHFC,EQ,13-May-2026,487.30,488.50,490.95,480.75,488.95,486.80,485.25,200322,972.07,8045,95625,47.74
AARTIIND,EQ,13-May-2026,468.50,466.00,476.00,465.60,467.25,468.55,471.41,558217,2631.51,17302,240374,43.06
AAVAS,EQ,13-May-2026,1387.00,1379.10,1437.00,1346.50,1437.00,1405.10,1375.86,43999,605.37,6081,22172,50.39
ABB,EQ,13-May-2026,6328.50,6344.00,6395.00,6212.50,6320.00,6305.00,6307.44,367052,23151.57,38985,115794,31.55
ABBOTINDIA,EQ,13-May-2026,26900.00,27100.00,27595.00,26920.00,27200.00,27280.00,27209.12,15814,4302.85,5881,8575,54.22
ABCAPITAL,EQ,13-May-2026,341.20,340.00,348.55,339.45,343.60,344.30,344.58,2904276,10007.51,38842,1233714,42.48
ABDL,EQ,13-May-2026,567.45,563.55,575.00,553.00,561.50,561.65,566.19,195406,1106.37,6061,93467,47.83
ABFRL,EQ,13-May-2026,62.40,62.70,64.54,62.70,63.35,63.59,63.82,2446503,1561.40,13864,919952,37.60
ABLBL,EQ,13-May-2026,101.66,101.77,103.48,101.00,101.05,101.42,102.27,695384,711.16,16694,317997,45.73
ABREL,EQ,13-May-2026,1321.20,1318.00,1337.00,1299.00,1315.00,1303.60,1314.32,304022,3995.82,14080,150495,49.50
ABSLAMC,EQ,13-May-2026,1055.10,1047.60,1076.20,1018.40,1030.00,1033.80,1044.83,574725,6004.89,34313,303412,52.79
ACC,EQ,13-May-2026,1347.00,1347.40,1372.50,1341.80,1366.60,1366.40,1358.85,195955,2662.74,13978,90107,45.98
ACE,EQ,13-May-2026,881.25,879.45,902.80,879.45,888.85,887.65,890.71,247856,2207.68,15359,100758,40.65
ACMESOLAR,EQ,13-May-2026,283.80,280.00,291.75,280.00,281.00,282.55,286.57,1030716,2953.74,23135,426093,41.34
ACUTAAS,EQ,13-May-2026,2742.20,2749.90,2849.90,2743.10,2834.00,2827.80,2823.17,363383,10258.92,38729,157873,43.45
ADANIENSOL,EQ,13-May-2026,1284.30,1257.80,1334.80,1236.60,1314.30,1318.20,1312.33,4691091,61562.62,111431,1746350,37.23
ADANIENT,EQ,13-May-2026,2405.20,2401.10,2530.00,2401.10,2503.00,2498.00,2478.80,2036291,50475.57,73475,663308,32.57
