SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,04-Mar-2026,1074.70,1056.30,1071.20,1039.30,1061.10,1066.40,1055.40,1197644,12639.97,50326,717446,59.90
3MINDIA,EQ,04-Mar-2026,35675.00,35525.00,35525.00,34155.00,34300.00,34280.00,34540.41,5374,1856.20,3048,2988,55.60
AADHARHFC,EQ,04-Mar-2026,452.60,440.05,455.45,435.20,454.95,453.10,444.21,836460,3715.63,25958,439221,52.51
AARTIIND,EQ,04-Mar-2026,432.95,422.95,427.70,400.00,408.00,412.50,416.83,966227,4027.49,35030,448708,46.44
AAVAS,EQ,04-Mar-2026,1240.10,1220.00,1250.00,1204.90,1230.00,1233.20,1228.64,185722,2281.86,23661,93932,50.58
ABB,EQ,04-Mar-2026,5983.00,5900.00,5911.50,5793.50,5820.50,5830.50,5847.28,275613,16115.86,26601,128985,46.80
ABBOTINDIA,EQ,04-Mar-2026,26805.00,26805.00,27930.00,26505.00,27900.00,27825.00,27301.38,25338,6917.62,9745,12251,48.35
ABCAPITAL,EQ,04-Mar-2026,338.10,335.10,335.10,318.90,320.40,321.55,324.73,5827934,18925.22,63123,2294355,39.37
ABDL,EQ,04-Mar-2026,471.00,458.75,467.40,447.30,450.90,450.10,454.52,422574,1920.67,16230,249021,58.93
ABFRL,EQ,04-Mar-2026,65.94,64.60,65.62,63.05,63.66,64.09,64.06,2713147,1737.96,18440,1301058,47.95
ABLBL,EQ,04-Mar-2026,100.81,98.40,100.49,97.36,99.84,99.87,99.82,6579053,6567.08,9411,6188702,94.07
ABREL,EQ,04-Mar-2026,1255.90,1255.50,1255.50,1208.40,1223.70,1226.90,1227.55,104637,1284.47,11373,46564,44.50
ABSLAMC,EQ,04-Mar-2026,876.40,870.00,875.60,845.00,870.00,867.95,861.68,301289,2596.15,25868,162218,53.84
ACC,EQ,04-Mar-2026,1553.20,1542.00,1545.50,1510.00,1512.00,1529.70,1523.39,258447,3937.17,17720,115670,44.76
ACE,EQ,04-Mar-2026,867.00,854.00,867.60,850.00,853.00,852.60,856.48,233914,2003.42,15268,123120,52.63
ACMESOLAR,EQ,04-Mar-2026,232.28,227.00,229.04,221.04,225.00,224.57,224.49,405512,910.32,11609,188894,46.58
ACUTAAS,EQ,04-Mar-2026,2191.90,2173.00,2206.00,2081.00,2109.80,2104.50,2115.87,492017,10410.45,70202,246038,50.01
ADANIENSOL,EQ,04-Mar-2026,972.30,956.40,968.50,948.80,957.80,960.50,959.15,1778566,17059.09,54231,915397,51.47
ADANIENT,EQ,04-Mar-2026,2124.60,2104.60,2104.60,2037.50,2070.00,2076.50,2064.28,1585848,32736.37,86583,628497,39.63
ADANIGREEN,EQ,04-Mar-2026,903.55,880.00,882.80,867.00,870.00,871.95,873.87,1976974,17276.21,47372,615168,31.12
ADANIPORTS,EQ,04-Mar-2026,1470.30,1435.00,1450.50,1409.00,1436.60,1434.40,1429.74,3386838,48423.12,125131,1475861,43.58
ADANIPOWER,EQ,04-Mar-2026,137.97,135.00,139.30,134.41,137.80,137.82,136.93,16666324,22821.57,196413,7659637,45.96
AEGISLOG,EQ,04-Mar-2026,677.85,665.00,670.50,641.00,648.00,647.35,653.94,246207,1610.05,14203,120542,48.96
AEGISVOPAK,EQ,04-Mar-2026,216.53,215.00,216.15,198.00,199.84,199.06,202.32,1142181,2310.85,20066,321257,28.13
AFCONS,EQ,04-Mar-2026,284.30,278.10,281.40,273.10,279.50,279.30,277.39,554588,1538.39,15157,287549,51.85
AFFLE,EQ,04-Mar-2026,1357.80,1331.00,1417.70,1327.90,1395.00,1403.80,1382.13,367004,5072.48,28954,135703,36.98
AIAENG,EQ,04-Mar-2026,3738.90,3700.00,3707.80,3605.00,3615.70,3623.00,3639.76,42995,1564.91,10415,27538,64.05
AIIL,EQ,04-Mar-2026,454.35,450.00,452.00,426.00,428.00,429.45,431.84,388271,1676.70,25763,151971,39.14
AJANTPHARM,EQ,04-Mar-2026,2967.80,2950.10,2950.10,2875.00,2882.50,2916.30,2911.30,84654,2464.53,16729,45889,54.21
ALKEM,EQ,04-Mar-2026,5566.00,5489.50,5536.00,5432.00,5460.00,5466.50,5475.52,87647,4799.12,17876,56532,64.50
AMBER,EQ,04-Mar-2026,7884.50,7750.00,7774.50,7514.00,7647.50,7657.00,7617.51,295675,22523.08,33878,134949,45.64
AMBUJACEM,EQ,04-Mar-2026,490.75,482.00,482.20,471.55,476.65,476.15,475.12,2300996,10932.44,36751,1086639,47.22
ANANDRATHI,EQ,04-Mar-2026,3148.50,3115.00,3168.80,3095.00,3141.10,3138.70,3128.38,180668,5651.99,19390,97726,54.09
ANANTRAJ,EQ,04-Mar-2026,509.10,500.00,502.00,485.00,486.90,489.30,491.83,2517876,12383.76,48727,1028283,40.84
ANGELONE,EQ,04-Mar-2026,226.32,222.20,223.25,217.52,221.90,221.75,220.09,5600383,12325.61,55395,2156680,38.51
