SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,25-Sep-2025,1026.50,1025.00,1029.20,1012.00,1022.50,1022.10,1021.85,892451,9119.48,41255,552856,61.95
3MINDIA,EQ,25-Sep-2025,29375.00,29520.00,29545.00,28790.00,29155.00,28920.00,29282.16,5293,1549.90,2102,3698,69.87
AADHARHFC,EQ,25-Sep-2025,539.85,539.95,541.45,524.40,526.20,526.80,532.29,306734,1632.71,10374,160431,52.30
AARTIIND,EQ,25-Sep-2025,383.35,383.35,385.70,379.05,379.45,380.40,381.65,313850,1197.80,10454,129660,41.31
AAVAS,EQ,25-Sep-2025,1669.90,1675.90,1675.90,1609.90,1626.40,1628.60,1637.01,119405,1954.67,13419,69593,58.28
ABB,EQ,25-Sep-2025,5237.30,5237.00,5265.00,5184.00,5210.00,5200.70,5212.83,308529,16083.08,28985,203387,65.92
ABBOTINDIA,EQ,25-Sep-2025,30195.00,30195.00,30505.00,30025.00,30200.00,30195.00,30250.17,10296,3114.56,3498,6384,62.00
ABCAPITAL,EQ,25-Sep-2025,291.95,293.00,294.45,285.05,287.40,286.50,290.43,3221602,9356.61,30482,1411149,43.80
ABDL,EQ,25-Sep-2025,535.30,534.00,537.90,520.80,523.05,523.55,527.80,260158,1373.12,9202,114783,44.12
ABFRL,EQ,25-Sep-2025,91.13,91.58,91.58,86.55,87.00,87.31,88.33,9947078,8786.26,44799,3709215,37.29
ABLBL,EQ,25-Sep-2025,135.89,135.79,137.90,134.71,135.00,135.59,136.44,948215,1293.73,15119,557006,58.74
ABREL,EQ,25-Sep-2025,1845.10,1845.10,1845.10,1768.00,1778.00,1781.30,1792.97,97309,1744.72,11419,36670,37.68
ABSLAMC,EQ,25-Sep-2025,812.10,812.50,815.20,799.15,800.00,803.50,808.28,304660,2462.52,15622,201518,66.15
ACC,EQ,25-Sep-2025,1860.90,1860.00,1871.00,1847.00,1853.10,1851.60,1856.50,115077,2136.40,9514,67801,58.92
ACE,EQ,25-Sep-2025,1138.10,1140.00,1140.00,1110.20,1119.00,1114.00,1120.92,146601,1643.28,11337,62191,42.42
ACMESOLAR,EQ,25-Sep-2025,283.95,284.10,284.10,275.00,281.50,280.85,280.55,967724,2714.99,24482,521114,53.85
ACUTAAS,EQ,25-Sep-2025,1449.20,1455.00,1456.40,1392.20,1410.00,1411.10,1410.45,366600,5170.73,23783,225003,61.38
ADANIENSOL,EQ,25-Sep-2025,889.00,889.00,907.00,881.10,896.60,894.20,898.13,2438224,21898.44,42605,635157,26.05
ADANIENT,EQ,25-Sep-2025,2619.80,2625.00,2647.90,2567.00,2573.30,2576.40,2608.32,1489682,38855.61,50400,497321,33.38
ADANIGREEN,EQ,25-Sep-2025,1095.25,1096.05,1115.00,1076.30,1081.60,1079.55,1095.29,5390958,59046.56,97875,811011,15.04
ADANIPORTS,EQ,25-Sep-2025,1431.60,1431.70,1439.90,1404.10,1408.00,1407.20,1421.96,1970560,28020.57,63647,940201,47.71
ADANIPOWER,EQ,25-Sep-2025,144.50,145.50,153.90,145.50,150.80,149.00,149.94,158371401,237463.61,506023,27136146,17.13
AEGISLOG,EQ,25-Sep-2025,762.30,762.80,786.80,760.55,770.15,773.90,776.33,589477,4576.30,24717,102252,17.35
AEGISVOPAK,EQ,25-Sep-2025,239.01,237.60,246.00,235.67,242.55,243.32,241.68,515973,1246.98,13578,325339,63.05
AFCONS,EQ,25-Sep-2025,456.60,452.80,454.90,441.00,442.00,443.55,447.48,305685,1367.88,12146,135712,44.40
AFFLE,EQ,25-Sep-2025,2038.60,2030.00,2077.00,2029.60,2058.00,2062.70,2056.97,164790,3389.69,16520,80694,48.97
AIAENG,EQ,25-Sep-2025,3070.20,3082.00,3115.00,3060.40,3088.60,3099.00,3086.46,124502,3842.71,8138,105933,85.09
AIIL,EQ,25-Sep-2025,3059.50,3068.90,3076.60,3000.00,3009.00,3002.60,3027.98,32769,992.24,6675,14183,43.28
AJANTPHARM,EQ,25-Sep-2025,2531.20,2531.20,2543.90,2466.60,2483.10,2489.40,2495.36,72077,1798.58,14529,42453,58.90
ALKEM,EQ,25-Sep-2025,5576.00,5591.00,5591.00,5484.50,5528.50,5508.00,5516.18,291331,16070.35,29270,222999,76.54
AMBER,EQ,25-Sep-2025,8410.00,8410.00,8497.00,8350.00,8405.00,8438.50,8457.74,604522,51128.92,38809,347161,57.43
