SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,12-Aug-2026,1168.00,1160.00,1167.50,1140.00,1161.00,1161.00,1153.32,997529,11504.70,21486,555374,55.67
3MINDIA,EQ,12-Aug-2026,36115.00,36300.00,36390.00,35760.00,35865.00,35935.00,35945.72,2637,947.89,1401,1381,52.37
AADHARHFC,EQ,12-Aug-2026,501.55,498.20,506.00,496.10,497.00,502.00,500.87,240315,1203.68,10353,138145,57.48
AARTIIND,EQ,12-Aug-2026,505.30,510.00,534.00,503.25,532.95,530.90,522.62,5378998,28111.69,90229,1900260,35.33
AAVAS,EQ,12-Aug-2026,1396.80,1396.80,1433.30,1388.10,1404.70,1416.20,1415.18,70390,996.14,10107,35558,50.52
ABB,EQ,12-Aug-2026,7611.50,7611.50,7741.00,7585.50,7710.00,7710.00,7683.09,224512,17249.46,31934,95919,42.72
ABBOTINDIA,EQ,12-Aug-2026,28020.00,28020.00,28250.00,27755.00,28150.00,28140.00,28074.27,11910,3343.65,5153,6295,52.85
ABCAPITAL,EQ,12-Aug-2026,407.15,407.15,410.95,403.05,410.95,410.95,405.28,2350295,9525.38,28678,1519793,64.66
ABDL,EQ,12-Aug-2026,619.80,622.60,622.90,603.05,614.40,614.15,608.30,460412,2800.68,12700,260435,56.57
ABFRL,EQ,12-Aug-2026,58.63,58.80,59.10,57.02,57.25,57.16,57.77,5139419,2969.26,26685,2650212,51.57
ABLBL,EQ,12-Aug-2026,91.48,91.45,92.49,90.02,90.50,90.29,90.94,602100,547.57,6416,331915,55.13
ABREL,EQ,12-Aug-2026,1400.80,1419.30,1419.40,1371.10,1378.00,1375.40,1384.68,52933,732.95,5608,26496,50.06
ABSLAMC,EQ,12-Aug-2026,1019.70,1017.80,1042.00,1010.90,1041.50,1038.60,1028.43,161763,1663.62,12265,109475,67.68
ACC,EQ,12-Aug-2026,1339.80,1349.00,1349.00,1324.00,1335.90,1332.80,1332.19,137292,1828.99,10690,76908,56.02
ACE,EQ,12-Aug-2026,1073.30,1073.30,1103.60,1062.30,1097.90,1096.10,1086.52,305682,3321.30,18476,124584,40.76
ACMESOLAR,EQ,12-Aug-2026,368.45,369.00,375.00,367.50,372.90,372.60,371.94,647813,2409.50,17200,344613,53.20
ACUTAAS,EQ,12-Aug-2026,3246.00,3242.00,3285.00,3136.20,3151.00,3153.40,3195.31,159044,5081.95,23919,93807,58.98
ADANIENSOL,EQ,12-Aug-2026,1622.00,1628.50,1629.70,1570.20,1599.00,1599.00,1589.23,1586459,25212.47,46059,488717,30.81
ADANIENT,EQ,12-Aug-2026,2995.50,3020.00,3020.00,2943.00,2985.70,2985.70,2968.54,1160458,34448.68,49061,414526,35.72
ADANIGREEN,EQ,12-Aug-2026,1366.00,1370.00,1371.00,1315.00,1332.30,1332.30,1333.07,2152786,28698.22,55205,628876,29.21
ADANIPORTS,EQ,12-Aug-2026,1668.20,1669.80,1672.70,1640.40,1665.00,1665.00,1653.37,1494540,24710.30,77755,700369,46.86
ADANIPOWER,EQ,12-Aug-2026,209.00,209.00,209.69,205.02,206.99,206.99,206.64,13943707,28813.70,80454,5128877,36.78
