SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,29-Dec-2025,1179.40,1179.80,1188.00,1165.20,1168.00,1170.60,1173.98,223221,2620.57,13336,120831,54.13
3MINDIA,EQ,29-Dec-2025,34575.00,34600.00,34700.00,34100.00,34395.00,34315.00,34301.90,1335,457.93,808,538,40.30
AADHARHFC,EQ,29-Dec-2025,484.00,484.00,485.95,475.65,477.30,477.15,478.39,362884,1735.99,9574,268106,73.88
AARTIIND,EQ,29-Dec-2025,376.40,376.00,380.30,372.45,373.65,376.60,376.36,376839,1418.27,13284,142311,37.76
AAVAS,EQ,29-Dec-2025,1480.30,1478.10,1487.00,1454.50,1473.40,1478.00,1467.13,134339,1970.93,11928,80953,60.26
ABB,EQ,29-Dec-2025,5183.00,5218.50,5218.50,5155.00,5155.00,5165.00,5178.99,53679,2780.03,8189,27479,51.19
ABBOTINDIA,EQ,29-Dec-2025,28905.00,28950.00,28975.00,28290.00,28915.00,28905.00,28836.30,20873,6019.00,5891,16422,78.68
ABCAPITAL,EQ,29-Dec-2025,348.15,349.70,350.00,344.55,346.15,346.75,347.02,2840688,9857.69,39995,1611877,56.74
ABDL,EQ,29-Dec-2025,613.55,610.00,615.85,592.15,602.00,601.50,603.10,470226,2835.91,18780,224953,47.84
ABFRL,EQ,29-Dec-2025,76.78,76.78,77.49,75.77,76.80,76.98,76.34,8093887,6178.66,14955,6748936,83.38
ABLBL,EQ,29-Dec-2025,123.08,123.49,124.89,120.81,122.68,122.95,122.35,8257955,10103.68,17123,6838938,82.82
ABREL,EQ,29-Dec-2025,1681.60,1675.00,1686.90,1645.10,1647.00,1650.60,1662.79,60294,1002.56,7135,28735,47.66
ABSLAMC,EQ,29-Dec-2025,770.45,764.00,813.00,761.00,785.00,792.85,795.97,704488,5607.50,33871,203997,28.96
