SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,14-May-2026,1077.50,1080.10,1106.70,1062.00,1103.20,1102.10,1088.63,403296,4390.39,17891,152937,37.92
3MINDIA,EQ,14-May-2026,31070.00,31225.00,31360.00,30850.00,31235.00,31195.00,31094.03,1100,342.03,731,485,44.09
AADHARHFC,EQ,14-May-2026,486.80,486.80,488.75,469.40,474.50,474.80,474.58,189939,901.42,9821,72618,38.23
AARTIIND,EQ,14-May-2026,468.55,469.05,472.55,458.25,468.75,468.00,465.12,816432,3797.37,22011,303157,37.13
AAVAS,EQ,14-May-2026,1405.10,1405.10,1405.10,1380.10,1395.40,1396.20,1392.47,26445,368.24,5579,13977,52.85
ABB,EQ,14-May-2026,6305.00,6350.00,6439.00,6220.00,6410.00,6429.00,6373.48,327209,20854.60,37850,102640,31.37
ABBOTINDIA,EQ,14-May-2026,27280.00,27590.00,27610.00,27270.00,27480.00,27520.00,27442.95,9543,2618.88,4546,4582,48.01
ABCAPITAL,EQ,14-May-2026,344.30,346.35,353.85,345.10,352.50,349.65,349.75,4170944,14587.86,45646,1791302,42.95
ABDL,EQ,14-May-2026,561.65,567.50,575.00,544.75,552.50,551.60,555.11,318898,1770.25,8790,155993,48.92
ABFRL,EQ,14-May-2026,63.59,64.00,64.49,62.78,63.40,63.48,63.64,2008302,1278.01,11433,913982,45.51
ABLBL,EQ,14-May-2026,101.42,101.90,104.20,100.85,103.10,102.86,102.73,704969,724.23,12704,280418,39.78
ABREL,EQ,14-May-2026,1303.60,1313.60,1331.90,1267.60,1308.00,1306.60,1295.32,327483,4241.95,22366,150248,45.88
ABSLAMC,EQ,14-May-2026,1033.80,1042.80,1071.80,1026.60,1068.40,1068.20,1053.14,379748,3999.28,29927,213957,56.34
ACC,EQ,14-May-2026,1366.40,1369.80,1387.50,1357.20,1380.10,1378.20,1373.80,125220,1720.27,10951,44577,35.60
ACE,EQ,14-May-2026,887.65,892.05,905.45,872.20,884.00,885.30,890.12,324505,2888.48,18141,106453,32.80
ACMESOLAR,EQ,14-May-2026,282.55,285.00,287.15,278.60,283.00,283.05,281.84,674839,1901.96,13083,263103,38.99
ACUTAAS,EQ,14-May-2026,2827.80,2848.90,2848.90,2706.50,2728.00,2726.80,2747.54,658946,18104.81,82697,334091,50.70
ADANIENSOL,EQ,14-May-2026,1318.20,1329.90,1342.00,1295.00,1321.10,1319.10,1320.27,3931057,51900.39,99593,1708290,43.46
ADANIENT,EQ,14-May-2026,2498.00,2530.10,2720.00,2530.00,2719.00,2712.90,2646.22,9539233,252428.76,275483,2192630,22.99
ADANIGREEN,EQ,14-May-2026,1366.70,1379.00,1424.10,1376.80,1418.60,1414.90,1405.86,4875061,68536.51,100575,1089938,22.36
ADANIPORTS,EQ,14-May-2026,1737.80,1761.00,1782.50,1745.40,1781.00,1773.40,1764.46,3051398,53840.62,93563,1066628,34.96
ADANIPOWER,EQ,14-May-2026,213.87,216.40,225.70,215.87,225.37,224.49,222.30,41896940,93136.25,203586,10341886,24.68
AEGISLOG,EQ,14-May-2026,652.15,662.25,675.95,648.50,654.05,653.55,659.86,344224,2271.39,16675,119504,34.72
AEGISVOPAK,EQ,14-May-2026,197.18,197.42,201.11,190.52,200.55,200.17,196.27,890960,1748.71,14060,357742,40.15
AFCONS,EQ,14-May-2026,333.95,335.90,337.95,324.10,330.00,330.80,329.89,541225,1785.43,11117,191128,35.31
AFFLE,EQ,14-May-2026,1533.50,1547.70,1547.70,1475.00,1492.00,1494.60,1496.37,339257,5076.54,30583,137130,40.42
AIAENG,EQ,14-May-2026,3794.80,3836.00,3877.00,3806.80,3862.20,3854.80,3845.55,20765,798.53,4945,12794,61.61
AIIL,EQ,14-May-2026,478.50,485.50,508.60,482.00,507.00,505.60,496.93,633860,3149.84,26835,257186,40.57
AJANTPHARM,EQ,14-May-2026,3123.20,3140.00,3280.00,3125.20,3280.00,3259.20,3206.59,328089,10520.48,56642,161553,49.24
ALKEM,EQ,14-May-2026,5462.50,5540.00,5629.50,5462.50,5565.50,5576.50,5583.12,75843,4234.41,14772,26213,34.56
AMBER,EQ,14-May-2026,8300.50,8399.00,8399.00,8005.00,8343.00,8288.50,8181.65,277706,22720.93,36925,49517,17.83
AMBUJACEM,EQ,14-May-2026,438.40,438.90,447.15,433.25,444.30,443.90,442.77,3486802,15438.61,33305,1644791,47.17
ANANDRATHI,EQ,14-May-2026,3550.10,3550.20,3584.00,3515.00,3562.50,3575.20,3556.52,115860,4120.58,10396,67089,57.91
ANANTRAJ,EQ,14-May-2026,498.00,504.00,508.00,483.15,499.00,494.40,495.10,2217788,10980.35,37407,606804,27.36
ANGELONE,EQ,14-May-2026,298.15,300.30,306.30,290.80,305.30,303.70,299.70,8288598,24840.59,118536,2831243,34.16
ANTHEM,EQ,14-May-2026,809.85,810.90,823.90,810.90,820.00,820.10,818.93,334348,2738.06,19504,158899,47.53
ANURAS,EQ,14-May-2026,1375.00,1390.80,1390.80,1365.00,1372.00,1375.30,1373.11,237972,3267.63,10970,68603,28.83
APARINDS,EQ,14-May-2026,12424.00,12600.00,12799.00,12350.00,12730.00,12735.00,12601.74,77388,9752.23,21941,31933,41.26
APLAPOLLO,EQ,14-May-2026,1891.10,1910.00,1912.70,1840.30,1896.00,1890.10,1877.71,368390,6917.29,28026,171056,46.43
APOLLOHOSP,EQ,14-May-2026,8004.50,8011.00,8180.00,8011.00,8115.00,8119.00,8133.23,431011,35055.10,48606,230814,53.55
APOLLOTYRE,EQ,14-May-2026,396.45,398.80,404.15,396.15,403.95,401.80,400.84,1715502,6876.43,46380,1088500,63.45
APTUS,EQ,14-May-2026,269.40,271.80,275.00,266.05,269.25,269.80,269.58,1521063,4100.41,31616,927002,60.94
ARE&M,EQ,14-May-2026,839.60,843.85,853.70,825.65,841.00,835.25,837.32,527968,4420.78,26678,213445,40.43
ASAHIINDIA,EQ,14-May-2026,814.95,821.95,828.80,803.30,820.00,821.60,817.44,77021,629.60,7553,31649,41.09
ASHOKLEY,EQ,14-May-2026,153.21,154.09,155.38,149.89,154.70,154.34,152.78,43395207,66299.56,233278,25216087,58.11
ASIANPAINT,EQ,14-May-2026,2617.60,2620.00,2665.70,2610.00,2614.00,2622.20,2631.80,1040916,27394.87,85789,472874,45.43
ASTERDM,EQ,14-May-2026,735.75,743.00,750.50,731.10,750.00,746.60,741.82,358394,2658.65,16330,183691,51.25
ASTRAL,EQ,14-May-2026,1544.00,1544.10,1568.30,1526.40,1565.00,1561.30,1552.49,304800,4731.98,19506,121665,39.92
ATGL,EQ,14-May-2026,606.50,608.00,618.50,602.00,615.80,612.60,610.97,1682108,10277.21,33703,275141,16.36
ATHERENERG,EQ,14-May-2026,951.95,958.95,958.95,936.05,942.25,940.30,942.86,2565395,24188.18,69351,1163008,45.33
ATUL,EQ,14-May-2026,6988.00,6990.00,7099.00,6953.50,6964.00,6970.00,7018.42,21148,1484.26,7601,8741,41.33
AUBANK,EQ,14-May-2026,994.80,1000.90,1007.50,990.60,1007.00,1004.70,1002.14,1286654,12894.06,58680,685119,53.25
