SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,30-Apr-2026,1046.80,1038.20,1041.35,1009.00,1040.00,1034.65,1026.21,1026753,10536.60,45637,407357,39.67
3MINDIA,EQ,30-Apr-2026,33175.00,33125.00,33490.00,32770.00,33365.00,33300.00,33162.82,1816,602.24,1220,772,42.51
AADHARHFC,EQ,30-Apr-2026,488.75,485.00,491.00,481.05,491.00,488.60,487.08,122224,595.33,8511,56058,45.86
AARTIIND,EQ,30-Apr-2026,502.35,500.00,510.05,495.90,507.00,507.50,504.29,1493230,7530.17,38481,640423,42.89
AAVAS,EQ,30-Apr-2026,1382.10,1380.20,1386.40,1351.00,1384.00,1380.70,1361.90,101440,1381.51,8103,69285,68.30
ABB,EQ,30-Apr-2026,7264.50,7250.00,7305.00,7102.00,7259.00,7230.00,7192.91,327820,23579.81,42456,172840,52.72
ABBOTINDIA,EQ,30-Apr-2026,25475.00,25395.00,25485.00,25250.00,25410.00,25435.00,25345.89,4669,1183.40,2025,2857,61.19
ABCAPITAL,EQ,30-Apr-2026,348.45,346.00,347.55,340.05,345.75,345.50,344.66,4348049,14986.10,42414,1745689,40.15
ABDL,EQ,30-Apr-2026,551.85,555.00,564.80,528.00,533.70,531.80,538.06,384581,2069.28,14706,218443,56.80
ABFRL,EQ,30-Apr-2026,65.05,64.90,66.31,63.87,63.90,64.20,64.93,4094830,2658.78,21079,1460901,35.68
ABLBL,EQ,30-Apr-2026,104.93,103.50,105.40,102.50,102.99,102.78,103.30,600751,620.59,12577,283910,47.26
ABREL,EQ,30-Apr-2026,1550.40,1549.90,1549.90,1470.40,1488.90,1486.20,1508.05,244766,3691.19,13791,149332,61.01
ABSLAMC,EQ,30-Apr-2026,1024.10,1019.05,1029.65,999.75,1016.00,1015.20,1015.47,237871,2415.51,19166,118061,49.63
ACC,EQ,30-Apr-2026,1436.60,1438.00,1438.00,1406.00,1417.90,1422.10,1417.20,174028,2466.32,10989,67508,38.79
ACE,EQ,30-Apr-2026,899.00,899.00,902.45,882.00,884.50,887.65,889.31,219741,1954.18,12544,74890,34.08
ACMESOLAR,EQ,30-Apr-2026,303.10,306.00,308.55,298.70,301.40,302.85,303.27,1105704,3353.28,19723,457193,41.35
ACUTAAS,EQ,30-Apr-2026,2502.40,2516.30,2710.00,2486.00,2592.10,2594.10,2584.00,2668458,68953.06,184275,767080,28.75
ADANIENSOL,EQ,30-Apr-2026,1418.15,1336.00,1377.10,1308.00,1344.95,1342.25,1340.04,6547437,87738.14,155913,1902905,29.06
ADANIENT,EQ,30-Apr-2026,2425.90,2394.90,2420.00,2328.80,2410.50,2408.40,2384.26,3538354,84363.70,91584,1031837,29.16
ADANIGREEN,EQ,30-Apr-2026,1244.80,1235.00,1237.55,1203.55,1231.00,1227.15,1219.76,3019213,36827.04,56671,807269,26.74
ADANIPORTS,EQ,30-Apr-2026,1661.10,1650.00,1677.00,1596.80,1675.50,1657.30,1633.98,6313698,103164.50,138819,2661072,42.15
ADANIPOWER,EQ,30-Apr-2026,219.28,216.90,223.50,214.24,222.08,221.85,219.16,67584204,148119.41,270799,15590394,23.07
AEGISLOG,EQ,30-Apr-2026,709.70,700.00,710.70,693.00,703.00,700.95,700.86,263269,1845.15,10315,124716,47.37
AEGISVOPAK,EQ,30-Apr-2026,194.58,193.50,196.94,186.91,190.00,189.62,189.57,623562,1182.08,14014,262435,42.09
AFCONS,EQ,30-Apr-2026,326.45,324.15,342.00,324.10,337.90,339.70,336.88,1274611,4293.94,31331,354398,27.80
AFFLE,EQ,30-Apr-2026,1433.10,1436.90,1475.90,1407.00,1421.00,1421.70,1422.10,140282,1994.95,12629,94854,67.62
AIAENG,EQ,30-Apr-2026,3937.20,3921.80,3962.10,3875.00,3951.00,3949.60,3930.25,13099,514.82,4334,7083,54.07
AIIL,EQ,30-Apr-2026,486.70,481.60,484.35,469.20,477.00,471.80,475.63,176547,839.70,13221,69007,39.09
AJANTPHARM,EQ,30-Apr-2026,2804.20,2790.00,2843.80,2790.00,2830.00,2822.70,2822.01,59221,1671.22,12752,24218,40.89
ALKEM,EQ,30-Apr-2026,5344.00,5354.50,5435.00,5291.00,5429.50,5400.00,5378.44,151866,8168.02,20575,90298,59.46
AMBER,EQ,30-Apr-2026,8082.00,8090.00,8090.00,7838.00,8020.00,8024.00,7981.26,158156,12622.84,25183,46002,29.09
AMBUJACEM,EQ,30-Apr-2026,454.60,450.20,450.20,440.10,443.95,444.20,444.28,3322936,14763.29,50806,1789165,53.84
ANANDRATHI,EQ,30-Apr-2026,3586.50,3600.00,3635.00,3565.10,3582.40,3601.60,3610.98,208128,7515.46,22773,119201,57.27
ANANTRAJ,EQ,30-Apr-2026,490.90,487.90,494.80,481.20,486.00,486.90,486.76,1245703,6063.60,33450,347541,27.90
ANGELONE,EQ,30-Apr-2026,313.10,311.36,311.55,306.12,309.00,308.71,308.74,3939153,12161.77,43949,1395550,35.43
ANTHEM,EQ,30-Apr-2026,775.25,770.00,778.00,756.40,760.00,760.10,763.30,151781,1158.55,9041,90420,59.57
ANURAS,EQ,30-Apr-2026,1294.70,1300.90,1358.10,1281.70,1342.40,1343.80,1323.34,537387,7111.46,17969,175456,32.65
APARINDS,EQ,30-Apr-2026,12387.50,12447.00,12850.00,12263.50,12351.00,12331.00,12508.77,191647,23972.68,41804,56293,29.37
APLAPOLLO,EQ,30-Apr-2026,1966.60,1956.50,1960.00,1895.50,1907.00,1905.00,1913.44,724377,13860.49,38562,385277,53.19
APOLLOHOSP,EQ,30-Apr-2026,7709.00,7634.50,7680.00,7561.50,7650.00,7636.50,7620.44,392016,29873.34,47087,258845,66.03
