SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,13-Nov-2025,1089.00,1089.00,1095.00,1075.80,1085.00,1085.60,1086.89,457966,4977.61,31264,272459,59.49
3MINDIA,EQ,13-Nov-2025,36005.00,36200.00,36435.00,35905.00,36000.00,36075.00,36147.85,7754,2802.90,3616,2887,37.23
AADHARHFC,EQ,13-Nov-2025,496.60,501.00,501.00,493.00,500.00,499.00,497.44,243234,1209.94,6287,183525,75.45
AARTIIND,EQ,13-Nov-2025,397.10,397.15,401.80,392.00,392.95,393.30,397.56,515815,2050.68,15209,214955,41.67
AAVAS,EQ,13-Nov-2025,1704.00,1704.00,1771.90,1694.10,1740.40,1736.40,1739.79,241861,4207.87,26814,78973,32.65
ABB,EQ,13-Nov-2025,4924.00,4933.00,4959.00,4896.00,4907.50,4913.00,4925.05,308690,15203.13,22974,220592,71.46
ABBOTINDIA,EQ,13-Nov-2025,29570.00,29595.00,29655.00,29285.00,29600.00,29570.00,29526.69,4429,1307.74,2237,2704,61.05
ABCAPITAL,EQ,13-Nov-2025,329.60,328.00,335.00,328.00,331.50,331.80,332.12,2993535,9942.21,50347,1432621,47.86
ABDL,EQ,13-Nov-2025,636.65,639.95,645.05,624.50,625.85,625.50,632.62,549918,3478.92,20142,320702,58.32
ABFRL,EQ,13-Nov-2025,80.84,80.84,80.85,79.13,79.50,79.58,79.79,3883210,3098.53,20813,1853471,47.73
ABLBL,EQ,13-Nov-2025,129.96,129.75,136.00,128.51,134.50,134.42,133.60,2674725,3573.37,23640,1026032,38.36
ABREL,EQ,13-Nov-2025,1776.40,1776.40,1817.60,1737.00,1757.00,1745.80,1777.72,93294,1658.51,10162,38218,40.97
ABSLAMC,EQ,13-Nov-2025,737.05,742.70,757.45,737.30,748.10,751.20,750.22,222957,1672.66,19250,124366,55.78
