SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,24-Nov-2025,1139.70,1147.60,1154.30,1122.40,1123.00,1129.80,1138.62,2106550,23985.63,46715,1108236,52.61
3MINDIA,EQ,24-Nov-2025,35455.00,35455.00,35745.00,34990.00,35450.00,35350.00,35440.30,6396,2266.76,3283,3868,60.48
AADHARHFC,EQ,24-Nov-2025,483.60,484.60,496.20,482.95,483.05,485.20,489.65,456616,2235.82,13086,270879,59.32
AARTIIND,EQ,24-Nov-2025,384.75,384.05,385.80,379.25,381.60,380.80,381.40,414285,1580.09,13195,237505,57.33
AAVAS,EQ,24-Nov-2025,1632.20,1635.40,1705.20,1612.70,1650.00,1669.60,1659.49,712139,11817.87,40949,517074,72.61
ABB,EQ,24-Nov-2025,5092.00,5092.00,5100.00,5024.50,5049.50,5057.00,5060.13,453211,22933.04,30549,287767,63.50
ABBOTINDIA,EQ,24-Nov-2025,29575.00,29595.00,29795.00,29380.00,29780.00,29675.00,29567.95,5493,1624.17,3001,3517,64.03
ABCAPITAL,EQ,24-Nov-2025,325.65,325.65,333.95,323.30,332.00,331.85,331.46,3631529,12037.13,41518,1528239,42.08
ABDL,EQ,24-Nov-2025,650.75,650.70,655.05,645.40,649.00,651.25,650.28,381311,2479.59,21365,237638,62.32
ABFRL,EQ,24-Nov-2025,76.71,77.01,77.60,75.33,75.50,75.66,76.05,3657141,2781.31,17762,2159130,59.04
ABLBL,EQ,24-Nov-2025,127.95,127.95,128.11,124.50,127.90,127.06,126.68,4353266,5514.60,35151,3055163,70.18
ABREL,EQ,24-Nov-2025,1741.50,1736.00,1747.90,1703.50,1710.10,1716.20,1721.41,206792,3559.73,28751,119994,58.03
ABSLAMC,EQ,24-Nov-2025,734.00,736.00,738.65,713.75,716.35,716.95,717.21,563069,4038.38,17219,450031,79.92
ACC,EQ,24-Nov-2025,1830.10,1830.90,1987.00,1807.20,1930.00,1913.70,1905.49,3525734,67182.48,84087,2615953,74.20
ACE,EQ,24-Nov-2025,960.40,961.90,1005.00,958.60,974.50,970.80,979.73,499897,4897.62,33823,98456,19.70
ACMESOLAR,EQ,24-Nov-2025,238.05,239.10,240.00,231.45,233.00,233.15,234.25,870423,2038.93,20424,481167,55.28
ACUTAAS,EQ,24-Nov-2025,1701.80,1700.00,1902.00,1691.20,1875.00,1872.20,1838.95,2048838,37677.17,118723,764292,37.30
ADANIENSOL,EQ,24-Nov-2025,974.80,979.00,983.90,967.60,968.00,970.15,974.11,774740,7546.82,25051,327348,42.25
ADANIENT,EQ,24-Nov-2025,2422.30,2426.20,2432.30,2393.10,2398.90,2399.20,2409.75,691419,16661.49,32464,357557,51.71
ADANIGREEN,EQ,24-Nov-2025,1030.50,1036.90,1037.50,1006.00,1011.40,1009.40,1017.38,1618990,16471.33,40676,496015,30.64
