SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,31-Aug-2026,1200.00,1199.60,1199.60,1149.30,1175.00,1175.00,1172.61,1412706,16565.58,52727,752416,53.26
3MINDIA,EQ,31-Aug-2026,34415.00,34415.00,34415.00,33125.00,33695.00,33320.00,33463.35,7423,2483.98,4147,4323,58.24
AADHARHFC,EQ,31-Aug-2026,471.10,471.10,471.10,462.80,466.00,468.10,467.06,213894,999.01,16699,101586,47.49
AARTIIND,EQ,31-Aug-2026,540.35,540.60,540.60,522.00,524.00,524.40,531.39,635813,3378.64,23637,328082,51.60
AAVAS,EQ,31-Aug-2026,1275.50,1277.10,1322.70,1254.40,1260.00,1261.20,1281.83,242642,3110.26,32987,76019,31.33
ABB,EQ,31-Aug-2026,7509.00,7488.00,7638.50,7306.00,7638.50,7638.50,7451.18,227223,16930.79,25514,124089,54.61
ABBOTINDIA,EQ,31-Aug-2026,26175.00,26300.00,26300.00,25800.00,25880.00,25850.00,26028.09,6684,1739.72,4628,3805,56.93
ABCAPITAL,EQ,31-Aug-2026,405.55,404.80,409.40,397.95,409.40,409.40,406.24,5834090,23700.48,27792,3419601,58.61
ABDL,EQ,31-Aug-2026,610.00,610.00,622.25,600.25,620.50,618.40,613.49,289013,1773.06,10806,164881,57.05
ABFRL,EQ,31-Aug-2026,52.49,52.74,53.19,51.65,52.03,52.10,52.48,5405597,2836.70,20632,2306174,42.66
ABLBL,EQ,31-Aug-2026,84.60,84.60,87.00,84.00,86.52,86.71,85.76,1171891,1005.01,10148,624192,53.26
ABREL,EQ,31-Aug-2026,1387.00,1390.70,1394.20,1350.00,1355.10,1355.50,1364.10,187059,2551.67,13023,115093,61.53
ABSLAMC,EQ,31-Aug-2026,1047.90,1033.70,1062.00,1010.00,1060.50,1051.80,1042.50,297155,3097.83,31485,171947,57.86
ACC,EQ,31-Aug-2026,1306.40,1304.00,1304.00,1270.00,1274.50,1276.50,1281.89,274811,3522.77,22029,174482,63.49
ACE,EQ,31-Aug-2026,1140.60,1149.00,1152.90,1100.70,1114.00,1110.50,1116.45,325647,3635.68,20764,158178,48.57
ACMESOLAR,EQ,31-Aug-2026,393.70,399.00,411.00,382.90,408.00,401.95,397.93,3008269,11970.72,49389,1875778,62.35
ACUTAAS,EQ,31-Aug-2026,3281.60,3281.60,3321.90,3125.90,3168.80,3160.60,3205.97,490517,15725.81,57811,325846,66.43
ADANIENSOL,EQ,31-Aug-2026,1581.40,1589.00,1592.90,1417.40,1417.40,1417.40,1446.46,35589890,514792.91,168851,29550724,83.03
ADANIENT,EQ,31-Aug-2026,3168.50,3165.00,3165.00,2859.10,2859.10,2859.10,2918.01,12872435,375618.43,171849,9771644,75.91
ADANIGREEN,EQ,31-Aug-2026,1311.00,1307.80,1310.90,1214.90,1214.90,1214.90,1252.72,2461573,30836.50,44861,1555392,63.19
ADANIPORTS,EQ,31-Aug-2026,1707.50,1710.00,1711.40,1593.10,1593.10,1593.10,1620.66,9621819,155937.37,136880,7910724,82.22
ADANIPOWER,EQ,31-Aug-2026,212.63,212.37,213.13,198.00,198.00,198.00,203.04,53907969,109452.19,152045,35395341,65.66
AEGISLOG,EQ,31-Aug-2026,1289.40,1289.40,1289.40,1242.10,1267.00,1264.60,1259.19,553008,6963.42,31636,269946,48.81
AEGISVOPAK,EQ,31-Aug-2026,269.90,265.95,272.70,261.65,265.50,268.75,268.07,721408,1933.85,8893,271364,37.62
AFCONS,EQ,31-Aug-2026,286.65,282.25,288.85,282.25,284.35,285.65,285.02,538629,1535.19,10162,314192,58.33
AFFLE,EQ,31-Aug-2026,1620.20,1620.20,1620.30,1590.00,1590.00,1597.90,1603.18,241180,3866.56,30700,160736,66.65
AIAENG,EQ,31-Aug-2026,4234.20,4269.00,4307.60,4157.40,4249.10,4257.50,4238.69,71716,3039.82,20611,37701,52.57
AIIL,EQ,31-Aug-2026,545.90,547.50,579.00,543.05,572.00,560.90,561.18,1824874,10240.89,66632,666928,36.55
AJANTPHARM,EQ,31-Aug-2026,3557.00,3572.50,3666.00,3515.00,3603.00,3601.90,3575.67,61976,2216.06,10692,32282,52.09
ALKEM,EQ,31-Aug-2026,5355.00,5355.00,5378.50,5297.00,5329.50,5329.50,5340.53,120023,6409.87,11064,86531,72.10
AMBER,EQ,31-Aug-2026,7675.00,7689.00,7689.00,7562.00,7620.00,7620.00,7618.71,105370,8027.83,15746,39465,37.45
AMBUJACEM,EQ,31-Aug-2026,412.05,411.40,411.40,401.15,401.15,401.15,405.22,2212877,8967.10,33571,1274610,57.60
ANANDRATHI,EQ,31-Aug-2026,2213.40,2219.90,2239.00,2182.30,2200.00,2204.20,2207.88,421862,9314.22,26726,241415,57.23
