SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,10-Mar-2026,1035.10,1039.90,1060.30,1032.80,1056.00,1055.80,1048.47,326555,3423.83,14680,134987,41.34
3MINDIA,EQ,10-Mar-2026,33445.00,33560.00,34275.00,33480.00,33950.00,33975.00,33871.31,2489,843.06,1833,835,33.55
AADHARHFC,EQ,10-Mar-2026,481.70,483.95,488.00,473.65,479.95,480.10,479.97,500914,2404.22,21669,171437,34.22
AARTIIND,EQ,10-Mar-2026,409.25,413.65,428.35,412.40,427.00,427.40,422.80,733989,3103.34,22280,323697,44.10
AAVAS,EQ,10-Mar-2026,1199.60,1207.00,1231.20,1179.10,1227.70,1220.10,1204.50,229712,2766.89,20089,131899,57.42
ABB,EQ,10-Mar-2026,5982.50,6032.50,6250.00,6032.00,6230.00,6224.50,6184.72,474110,29322.38,50514,157852,33.29
ABBOTINDIA,EQ,10-Mar-2026,27185.00,27300.00,27365.00,26705.00,26995.00,26810.00,27053.28,9965,2695.86,4536,5004,50.22
ABCAPITAL,EQ,10-Mar-2026,324.30,329.70,334.20,324.55,333.00,332.50,329.85,2600867,8579.06,36842,872575,33.55
ABDL,EQ,10-Mar-2026,459.90,469.00,480.00,459.25,478.80,478.15,470.05,231127,1086.41,10676,113598,49.15
ABFRL,EQ,10-Mar-2026,60.58,61.95,62.00,60.12,61.79,61.72,61.34,3447613,2114.62,17906,1474200,42.76
ABLBL,EQ,10-Mar-2026,97.60,98.24,104.84,98.03,103.80,104.01,102.84,7020653,7219.74,17219,6097813,86.86
ABREL,EQ,10-Mar-2026,1189.40,1189.40,1213.20,1170.10,1174.00,1176.10,1182.48,204699,2420.53,14621,113472,55.43
ABSLAMC,EQ,10-Mar-2026,872.15,892.00,1046.55,879.65,980.00,975.75,993.41,5492707,54565.16,141431,1510158,27.49
ACC,EQ,10-Mar-2026,1450.50,1463.30,1482.20,1447.20,1479.00,1474.00,1467.52,212739,3121.98,12020,96012,45.13
ACE,EQ,10-Mar-2026,848.85,861.00,865.90,846.55,862.95,859.70,854.96,180753,1545.37,9712,91127,50.42
ACMESOLAR,EQ,10-Mar-2026,219.46,220.97,224.80,216.34,224.50,224.13,220.70,585230,1291.60,12507,253748,43.36
ACUTAAS,EQ,10-Mar-2026,2154.60,2201.00,2270.00,2168.70,2225.00,2227.90,2236.15,333250,7451.98,37555,156228,46.88
ADANIENSOL,EQ,10-Mar-2026,981.40,993.10,1022.50,980.70,1017.20,1013.60,1006.29,2120819,21341.50,44872,1020248,48.11
ADANIENT,EQ,10-Mar-2026,1999.20,2030.00,2030.00,1982.20,2002.00,1996.50,1996.85,1680405,33555.10,71660,753222,44.82
ADANIGREEN,EQ,10-Mar-2026,854.15,875.00,878.95,843.25,858.50,856.90,855.50,3240047,27718.59,48641,1383441,42.70
ADANIPORTS,EQ,10-Mar-2026,1421.30,1450.00,1470.30,1416.50,1428.00,1424.10,1428.09,2706284,38648.12,88266,1471544,54.38
ADANIPOWER,EQ,10-Mar-2026,139.11,141.50,141.50,138.61,139.00,138.94,139.20,15123909,21052.95,92697,8838687,58.44
AEGISLOG,EQ,10-Mar-2026,649.25,650.00,664.95,643.50,649.90,646.35,652.15,361681,2358.70,19997,191802,53.03
AEGISVOPAK,EQ,10-Mar-2026,192.38,196.85,196.85,189.10,194.70,194.10,192.27,765034,1470.91,17008,217806,28.47
AFCONS,EQ,10-Mar-2026,278.15,279.95,282.00,276.00,276.75,276.55,277.73,533161,1480.75,7137,396521,74.37
AFFLE,EQ,10-Mar-2026,1391.00,1399.70,1413.70,1372.70,1401.00,1398.60,1389.99,124880,1735.82,12388,50075,40.10
AIAENG,EQ,10-Mar-2026,3600.50,3638.00,3820.00,3638.00,3790.00,3787.80,3736.69,75363,2816.08,16979,49998,66.34
AIIL,EQ,10-Mar-2026,405.30,410.00,486.35,407.75,486.35,486.35,471.03,6762223,31852.35,128976,562524,8.32
AJANTPHARM,EQ,10-Mar-2026,2936.40,2979.00,3023.40,2967.80,3012.30,2999.90,2999.95,123027,3690.75,18281,90495,73.56
ALKEM,EQ,10-Mar-2026,5460.00,5509.50,5664.50,5500.00,5601.00,5616.50,5608.03,127594,7155.51,20289,59014,46.25
AMBER,EQ,10-Mar-2026,7310.50,7500.00,7565.00,7193.50,7530.00,7507.50,7393.20,361829,26750.73,42707,44422,12.28
AMBUJACEM,EQ,10-Mar-2026,451.95,459.10,465.70,454.10,462.25,462.10,460.86,2249388,10366.43,42619,1007673,44.80
ANANDRATHI,EQ,10-Mar-2026,3151.00,3171.00,3171.00,3105.00,3145.00,3155.70,3138.68,143439,4502.09,23055,84102,58.63
ANANTRAJ,EQ,10-Mar-2026,473.20,485.00,490.00,475.55,488.05,485.35,481.45,1255460,6044.40,22863,471494,37.56
ANGELONE,EQ,10-Mar-2026,218.96,222.99,226.50,220.25,226.50,225.31,223.57,4421152,9884.39,33557,1289584,29.17
ANTHEM,EQ,10-Mar-2026,660.15,674.00,679.90,665.10,670.70,670.15,672.70,141357,950.90,11004,42277,29.91
ANURAS,EQ,10-Mar-2026,1254.40,1264.00,1309.90,1241.00,1295.10,1294.10,1268.75,495100,6281.56,9494,316722,63.97
APARINDS,EQ,10-Mar-2026,10142.00,10332.00,10400.00,9952.00,10014.00,9996.00,10203.96,73925,7543.28,17623,27867,37.70
APLAPOLLO,EQ,10-Mar-2026,2097.90,2137.70,2168.60,2085.70,2104.90,2100.60,2132.96,1148309,24493.02,54953,620451,54.03
APOLLOHOSP,EQ,10-Mar-2026,7779.00,7865.00,7870.00,7770.00,7800.00,7803.00,7811.08,381453,29795.59,49457,245621,64.39
