SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,08-May-2026,1111.70,1112.90,1134.90,1105.70,1114.40,1118.50,1121.41,732727,8216.90,20616,337781,46.10
3MINDIA,EQ,08-May-2026,32650.00,32700.00,32700.00,32000.00,32070.00,32045.00,32178.89,2139,688.31,1306,1097,51.29
AADHARHFC,EQ,08-May-2026,500.45,501.50,506.25,497.30,502.75,501.40,502.25,301895,1516.27,10295,170844,56.59
AARTIIND,EQ,08-May-2026,488.15,485.00,490.55,484.10,487.00,485.45,486.51,577067,2807.50,14867,258515,44.80
AAVAS,EQ,08-May-2026,1419.60,1419.90,1460.00,1415.00,1445.00,1443.60,1440.76,82898,1194.36,11448,44710,53.93
ABB,EQ,08-May-2026,7188.00,7210.00,7210.00,6991.50,7010.00,7012.50,7074.90,443952,31409.16,44521,168621,37.98
ABBOTINDIA,EQ,08-May-2026,26700.00,26840.00,26880.00,26550.00,26850.00,26700.00,26708.38,11131,2972.91,3958,6881,61.82
ABCAPITAL,EQ,08-May-2026,369.00,369.00,369.85,361.35,362.30,362.95,364.60,2976183,10851.16,43688,1275328,42.85
ABDL,EQ,08-May-2026,572.00,572.00,600.00,562.35,593.30,591.30,588.65,900364,5300.02,17497,428066,47.54
ABFRL,EQ,08-May-2026,67.79,67.70,67.70,66.09,66.40,66.33,66.70,4480246,2988.23,22179,2041189,45.56
ABLBL,EQ,08-May-2026,118.21,107.01,114.50,104.99,114.00,114.06,112.29,7630719,8568.71,52470,2252888,29.52
ABREL,EQ,08-May-2026,1591.20,1590.00,1593.80,1470.00,1479.00,1485.80,1511.87,553663,8370.66,33879,249328,45.03
ABSLAMC,EQ,08-May-2026,1088.60,1088.60,1088.90,1063.90,1075.00,1072.40,1076.48,1079673,11622.48,46111,882867,81.77
ACC,EQ,08-May-2026,1414.60,1416.80,1432.90,1387.70,1393.00,1391.90,1407.25,507255,7138.36,21385,341189,67.26
ACE,EQ,08-May-2026,905.55,909.00,966.75,845.55,948.05,947.25,915.06,4413015,40381.76,128289,1011209,22.91
ACMESOLAR,EQ,08-May-2026,298.55,307.00,307.40,278.10,283.00,282.80,285.96,5356990,15319.10,70475,2808479,52.43
ACUTAAS,EQ,08-May-2026,2725.70,2700.20,2759.00,2700.00,2745.10,2734.30,2732.43,268791,7344.52,23802,134283,49.96
ADANIENSOL,EQ,08-May-2026,1387.10,1390.00,1397.00,1346.00,1354.90,1353.60,1370.63,3113343,42672.56,64320,1733858,55.69
ADANIENT,EQ,08-May-2026,2513.70,2519.00,2546.10,2500.00,2502.00,2505.90,2521.01,1499613,37805.33,50320,445832,29.73
ADANIGREEN,EQ,08-May-2026,1365.00,1364.10,1373.00,1349.50,1350.00,1355.80,1363.76,2014853,27477.74,45592,532607,26.43
ADANIPORTS,EQ,08-May-2026,1732.80,1740.40,1792.00,1727.70,1760.00,1760.40,1761.21,4984856,87793.90,113348,1858466,37.28
ADANIPOWER,EQ,08-May-2026,230.19,231.00,231.43,224.03,225.25,225.33,227.74,27156296,61845.56,138191,9115670,33.57
AEGISLOG,EQ,08-May-2026,739.65,739.70,741.00,714.70,724.00,720.90,724.74,575332,4169.67,28079,320204,55.66
