SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,07-Apr-2026,929.45,925.15,934.70,906.05,926.45,929.25,919.91,703930,6475.55,21123,356185,50.60
3MINDIA,EQ,07-Apr-2026,29385.00,29400.00,29600.00,29130.00,29300.00,29260.00,29280.76,3492,1022.48,2459,1887,54.04
AADHARHFC,EQ,07-Apr-2026,453.75,444.00,463.90,442.00,452.15,456.30,455.25,299763,1364.67,10919,162607,54.25
AARTIIND,EQ,07-Apr-2026,404.20,405.85,409.00,401.00,404.00,402.45,404.06,403617,1630.87,12710,187856,46.54
AAVAS,EQ,07-Apr-2026,1149.40,1149.40,1154.10,1120.00,1125.00,1124.80,1130.04,61659,696.77,9477,29553,47.93
ABB,EQ,07-Apr-2026,6193.50,6175.00,6280.00,6081.50,6270.00,6269.00,6212.17,253657,15757.61,28930,101069,39.84
ABBOTINDIA,EQ,07-Apr-2026,25895.00,26000.00,26060.00,25600.00,25690.00,25665.00,25754.13,5275,1358.53,2606,2530,47.96
ABCAPITAL,EQ,07-Apr-2026,311.30,310.45,310.80,304.70,307.00,308.55,308.29,3296766,10163.74,31848,1380288,41.87
ABDL,EQ,07-Apr-2026,427.50,425.00,429.00,416.70,420.25,420.10,422.02,326476,1377.80,10768,126975,38.89
ABFRL,EQ,07-Apr-2026,58.94,58.88,59.44,57.40,57.70,57.66,58.23,3985705,2320.75,18344,1909056,47.90
ABLBL,EQ,07-Apr-2026,96.08,95.50,98.49,94.60,98.02,97.96,97.78,1881599,1839.82,30865,1347990,71.64
ABREL,EQ,07-Apr-2026,1178.70,1175.10,1189.00,1164.70,1180.50,1183.20,1179.32,126589,1492.89,11968,59423,46.94
ABSLAMC,EQ,07-Apr-2026,947.10,947.10,947.55,927.15,932.00,930.15,933.22,156213,1457.81,16323,69020,44.18
ACC,EQ,07-Apr-2026,1362.10,1357.90,1358.60,1333.10,1340.00,1340.00,1343.07,127358,1710.51,11871,65359,51.32
ACE,EQ,07-Apr-2026,828.15,825.00,838.80,819.45,834.50,835.00,830.93,181979,1512.13,10771,74731,41.07
ACMESOLAR,EQ,07-Apr-2026,280.25,281.00,284.70,275.00,277.00,277.20,280.41,919666,2578.85,17677,371944,40.44
ACUTAAS,EQ,07-Apr-2026,2212.40,2200.00,2263.70,2193.90,2218.00,2214.00,2227.64,307965,6860.35,23171,114040,37.03
ADANIENSOL,EQ,07-Apr-2026,991.35,988.10,999.50,975.00,988.00,986.25,986.41,1498986,14786.20,33080,528056,35.23
ADANIENT,EQ,07-Apr-2026,1902.20,1890.00,1904.60,1865.00,1884.00,1882.10,1878.98,1566909,29441.92,69466,482751,30.81
ADANIGREEN,EQ,07-Apr-2026,921.10,921.10,934.90,910.05,930.00,925.35,923.52,4589372,42383.67,63468,1318154,28.72
ADANIPORTS,EQ,07-Apr-2026,1387.10,1375.00,1390.00,1368.40,1382.00,1381.00,1378.77,1812944,24996.33,72924,852164,47.00
