SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,14-Aug-2026,1183.00,1179.00,1191.50,1167.00,1180.00,1180.00,1178.95,396813,4678.24,23944,158281,39.89
3MINDIA,EQ,14-Aug-2026,36165.00,36565.00,37300.00,35000.00,35250.00,35340.00,35932.71,20827,7483.71,10314,3110,14.93
AADHARHFC,EQ,14-Aug-2026,503.20,499.40,503.10,497.00,498.65,498.20,500.03,159621,798.16,7237,100378,62.89
AARTIIND,EQ,14-Aug-2026,538.20,538.20,538.20,512.50,535.00,534.10,526.63,2578695,13580.22,47215,936416,36.31
AAVAS,EQ,14-Aug-2026,1431.80,1431.80,1435.90,1385.20,1394.00,1397.40,1407.13,51565,725.59,11634,29524,57.26
ABB,EQ,14-Aug-2026,7710.00,7710.00,7825.00,7639.00,7649.00,7649.00,7715.48,163080,12582.41,24337,60161,36.89
ABBOTINDIA,EQ,14-Aug-2026,27620.00,27800.00,27800.00,27000.00,27040.00,27060.00,27236.49,18516,5043.11,5492,14030,75.77
ABCAPITAL,EQ,14-Aug-2026,407.70,405.60,408.20,401.00,401.00,401.00,402.88,1264602,5094.83,23940,662336,52.38
ABDL,EQ,14-Aug-2026,627.70,630.70,631.95,591.10,601.00,599.45,605.03,528711,3198.85,13645,266477,50.40
ABFRL,EQ,14-Aug-2026,56.73,56.86,57.33,55.66,56.09,55.98,56.35,5318321,2996.76,25113,2950442,55.48
ABLBL,EQ,14-Aug-2026,89.96,89.97,90.24,88.65,88.99,88.77,89.28,446038,398.23,6531,268991,60.31
ABREL,EQ,14-Aug-2026,1393.80,1401.00,1427.90,1381.20,1400.00,1402.90,1398.06,201919,2822.94,16247,92781,45.95
ABSLAMC,EQ,14-Aug-2026,1026.40,1030.00,1030.00,1010.00,1011.80,1011.20,1018.47,61108,622.37,10964,31662,51.81
ACC,EQ,14-Aug-2026,1324.70,1332.00,1332.00,1319.00,1321.50,1321.40,1322.45,99400,1314.52,8003,56307,56.65
ACE,EQ,14-Aug-2026,1078.30,1079.10,1092.50,1076.50,1090.50,1085.60,1083.86,153417,1662.82,7661,78569,51.21
ACMESOLAR,EQ,14-Aug-2026,374.50,374.55,379.00,372.15,372.40,374.10,375.50,440108,1652.62,13010,259986,59.07
ACUTAAS,EQ,14-Aug-2026,3110.60,3111.00,3255.00,3111.00,3228.90,3235.60,3211.72,331013,10631.22,37931,157231,47.50
ADANIENSOL,EQ,14-Aug-2026,1583.00,1588.00,1624.00,1575.00,1616.00,1616.00,1602.05,7047548,112905.56,84652,4691915,66.58
ADANIENT,EQ,14-Aug-2026,2964.90,2965.00,3048.00,2950.00,3035.10,3035.10,3013.28,1666749,50223.87,61603,691114,41.46
ADANIGREEN,EQ,14-Aug-2026,1319.00,1319.00,1348.00,1315.10,1348.00,1348.00,1334.81,1093447,14595.40,29419,285634,26.12
ADANIPORTS,EQ,14-Aug-2026,1658.00,1658.00,1700.00,1657.20,1700.00,1700.00,1685.39,1978204,33340.41,68467,928654,46.94
ADANIPOWER,EQ,14-Aug-2026,206.10,205.91,208.14,205.00,205.25,205.25,206.14,13864195,28578.99,86771,6289411,45.36
AEGISLOG,EQ,14-Aug-2026,1247.00,1244.00,1290.00,1242.00,1263.00,1265.40,1270.74,515288,6547.98,23340,186170,36.13
AEGISVOPAK,EQ,14-Aug-2026,271.50,273.00,274.70,267.80,269.55,269.10,271.35,403221,1094.13,9243,164938,40.91
AFCONS,EQ,14-Aug-2026,271.60,269.50,272.95,268.20,268.80,268.80,269.91,379340,1023.86,7817,232710,61.35
AFFLE,EQ,14-Aug-2026,1643.00,1643.00,1676.30,1632.50,1670.00,1668.80,1663.27,103119,1715.14,15941,48602,47.13
AIAENG,EQ,14-Aug-2026,4435.10,4437.90,4629.90,4414.70,4470.00,4482.80,4562.93,97062,4428.87,22554,31705,32.66
AIIL,EQ,14-Aug-2026,579.10,579.80,583.00,561.65,569.00,564.90,570.50,94880,541.29,6874,42051,44.32
AJANTPHARM,EQ,14-Aug-2026,3614.60,3620.90,3700.60,3603.10,3686.90,3672.80,3660.94,95494,3495.98,21171,49429,51.76
ALKEM,EQ,14-Aug-2026,5449.50,5432.00,5448.00,5175.00,5368.00,5368.00,5330.45,635598,33880.24,73420,201122,31.64
AMBER,EQ,14-Aug-2026,7175.00,7170.50,7350.00,7055.00,7222.00,7222.00,7229.58,749611,54193.69,80818,161148,21.50
AMBUJACEM,EQ,14-Aug-2026,419.40,419.60,419.85,416.00,417.50,417.50,417.35,1586889,6622.90,20852,879878,55.45
ANANDRATHI,EQ,14-Aug-2026,2198.80,2209.00,2225.00,2167.00,2172.20,2174.70,2187.54,150902,3301.04,12994,84714,56.14
ANANTRAJ,EQ,14-Aug-2026,627.05,629.90,631.45,618.50,630.00,629.95,626.65,1472651,9228.38,29468,623564,42.34
ANGELONE,EQ,14-Aug-2026,292.00,292.00,294.30,286.25,287.30,287.30,289.32,3898187,11278.36,33578,1605713,41.19
ANTHEM,EQ,14-Aug-2026,874.90,870.60,892.70,865.65,892.00,890.10,881.40,390266,3439.80,19142,214419,54.94
ANURAS,EQ,14-Aug-2026,1207.80,1214.00,1233.80,1205.00,1215.00,1209.40,1216.26,597433,7266.33,17739,296690,49.66
APARINDS,EQ,14-Aug-2026,17225.00,17000.00,17118.00,16650.00,16699.00,16691.00,16845.68,175323,29534.35,45347,79513,45.35
APLAPOLLO,EQ,14-Aug-2026,2064.30,2060.00,2099.00,2037.00,2083.30,2083.30,2077.58,594481,12350.82,30129,267453,44.99
APOLLOHOSP,EQ,14-Aug-2026,8600.00,8615.00,8925.00,8588.50,8920.50,8920.50,8837.61,1275740,112744.96,129238,606817,47.57
APOLLOTYRE,EQ,14-Aug-2026,443.05,444.75,446.65,440.90,444.00,444.10,443.96,274273,1217.65,11383,127299,46.41
APTUS,EQ,14-Aug-2026,253.80,253.50,253.80,249.05,250.85,250.50,250.82,784152,1966.83,30544,492954,62.86
ARE&M,EQ,14-Aug-2026,948.80,951.00,957.00,944.05,946.90,945.95,949.38,491377,4665.06,21081,181417,36.92
ASAHIINDIA,EQ,14-Aug-2026,901.00,898.00,947.00,893.15,937.95,939.20,937.24,643741,6033.43,34221,160702,24.96
ASHOKLEY,EQ,14-Aug-2026,176.23,177.11,179.50,169.75,171.64,171.64,174.81,39171573,68476.58,184443,11050873,28.21
ASIANPAINT,EQ,14-Aug-2026,2755.50,2751.00,2751.00,2690.30,2696.30,2696.30,2710.86,667311,18089.87,44421,366665,54.95
ASTERDM,EQ,14-Aug-2026,824.30,824.25,834.30,819.25,824.00,822.35,824.06,616929,5083.84,22503,322088,52.21
ASTRAL,EQ,14-Aug-2026,1592.00,1592.00,1597.00,1552.20,1556.30,1556.30,1572.50,889819,13992.39,31620,243272,27.34
ATGL,EQ,14-Aug-2026,655.05,655.15,661.20,652.05,656.15,654.05,655.91,469323,3078.33,14241,134389,28.63
ATHERENERG,EQ,14-Aug-2026,1526.50,1530.00,1541.00,1501.90,1516.00,1511.50,1519.56,2250949,34204.50,71529,923390,41.02
ATUL,EQ,14-Aug-2026,6903.00,6891.00,6939.00,6712.00,6724.00,6729.00,6755.87,26831,1812.67,6371,15447,57.57
AUBANK,EQ,14-Aug-2026,1098.00,1098.00,1098.00,1078.60,1081.90,1081.90,1085.21,1009455,10954.75,23248,613221,60.75
AUROPHARMA,EQ,14-Aug-2026,1663.40,1662.40,1670.00,1621.90,1622.10,1622.10,1635.94,824842,13493.92,34453,341542,41.41
AWL,EQ,14-Aug-2026,192.11,192.00,193.00,190.30,192.50,192.16,191.84,3033920,5820.22,17955,2425756,79.95
AXISBANK,EQ,14-Aug-2026,1221.80,1216.00,1218.70,1208.60,1217.40,1217.40,1213.81,5557745,67460.22,231929,4071987,73.27
BAJAJ-AUTO,EQ,14-Aug-2026,11661.00,11698.00,11785.00,11665.00,11700.00,11700.00,11723.90,241415,28303.26,36088,141270,58.52
BAJAJFINSV,EQ,14-Aug-2026,2025.00,2033.50,2033.60,2006.60,2008.30,2008.30,2021.85,956605,19341.16,52601,688947,72.02
BAJAJHFL,EQ,14-Aug-2026,84.37,84.50,84.57,84.05,84.40,84.33,84.30,1348710,1137.03,13364,819437,60.76
BAJAJHLDNG,EQ,14-Aug-2026,11500.00,11540.00,11541.00,11387.00,11475.00,11475.00,11445.82,31456,3600.40,10499,16697,53.08
BAJFINANCE,EQ,14-Aug-2026,1090.80,1090.80,1098.50,1085.20,1087.00,1087.00,1091.14,4225781,46109.06,59559,2734545,64.71
BALKRISIND,EQ,14-Aug-2026,2410.00,2410.00,2423.20,2350.10,2371.90,2363.60,2363.04,359889,8504.31,30463,259888,72.21
BALRAMCHIN,EQ,14-Aug-2026,619.65,620.95,633.40,616.25,625.00,624.85,623.82,363038,2264.72,14913,142083,39.14
BANDHANBNK,EQ,14-Aug-2026,175.90,175.50,176.30,173.51,174.55,174.55,174.67,2509360,4383.05,15411,922626,36.77
BANKBARODA,EQ,14-Aug-2026,248.00,248.00,250.79,247.50,248.22,248.22,249.10,7812221,19460.53,51381,3585584,45.90
BANKINDIA,EQ,14-Aug-2026,144.87,145.00,145.00,143.11,144.10,144.10,144.14,3859204,5562.64,32706,1828800,47.39
BATAINDIA,EQ,14-Aug-2026,727.65,732.45,767.95,725.40,756.00,755.70,755.77,2120239,16024.03,64243,632385,29.83
BAYERCROP,EQ,14-Aug-2026,4085.40,4095.00,4115.60,4036.20,4047.00,4045.80,4061.18,21236,862.43,4161,13436,63.27
BBTC,EQ,14-Aug-2026,1471.80,1478.90,1491.40,1464.90,1466.00,1468.20,1476.32,23135,341.55,3662,12045,52.06
BDL,EQ,14-Aug-2026,1375.50,1381.60,1419.80,1347.30,1398.00,1398.00,1383.94,8457532,117047.46,206116,1628249,19.25
BEL,EQ,14-Aug-2026,410.50,410.45,412.50,408.25,410.80,410.80,410.33,7388147,30315.51,64385,4361165,59.03
BELRISE,EQ,14-Aug-2026,254.42,254.39,261.00,251.17,257.00,255.35,257.54,5210897,13420.15,62686,2520810,48.38
BEML,EQ,14-Aug-2026,1910.60,1915.00,1925.70,1869.10,1871.00,1874.40,1889.78,171580,3242.48,16787,69272,40.37
BERGEPAINT,EQ,14-Aug-2026,546.35,547.00,561.00,543.00,544.40,545.10,554.84,891866,4948.43,24834,488598,54.78
BHARATFORG,EQ,14-Aug-2026,2088.00,2088.00,2090.70,2052.60,2065.00,2065.00,2066.59,804954,16635.09,53050,468262,58.17
BHARTIARTL,EQ,14-Aug-2026,1939.10,1939.10,2005.80,1932.00,1992.10,1992.10,1987.68,12282580,244138.34,311440,8227446,66.98
BHARTIHEXA,EQ,14-Aug-2026,1565.50,1558.00,1633.70,1553.10,1622.00,1621.10,1615.29,349991,5653.36,31915,133089,38.03
BHEL,EQ,14-Aug-2026,420.00,419.95,430.00,416.55,421.70,421.70,424.67,11362612,48253.04,97797,3771894,33.20
BIKAJI,EQ,14-Aug-2026,616.90,617.95,622.00,607.95,613.80,613.30,615.68,282263,1737.83,8937,211323,74.87
BIOCON,EQ,14-Aug-2026,420.00,418.00,420.80,413.15,417.00,417.00,416.58,3992844,16633.23,36429,2325866,58.25
BLS,EQ,14-Aug-2026,270.67,269.32,279.11,268.55,277.90,278.12,275.55,3214940,8858.68,43768,1274374,39.64
BLUEDART,EQ,14-Aug-2026,5101.00,5160.00,5280.00,5070.00,5150.00,5141.00,5149.32,22745,1171.21,4759,6901,30.34
BLUEJET,EQ,14-Aug-2026,594.60,597.20,599.25,582.95,586.05,584.50,588.85,571595,3365.85,14030,315725,55.24
BLUESTARCO,EQ,14-Aug-2026,1514.00,1514.00,1527.50,1497.10,1508.00,1508.00,1506.04,322229,4852.89,17484,137733,42.74
BOSCHLTD,EQ,14-Aug-2026,46750.00,46810.00,47315.00,46480.00,47100.00,47100.00,46963.64,33575,15768.04,13850,15150,45.12
BPCL,EQ,14-Aug-2026,315.00,314.85,319.45,314.05,319.45,319.45,317.54,8035947,25517.30,47336,5057916,62.94
BRIGADE,EQ,14-Aug-2026,589.65,593.00,605.90,585.10,585.25,591.55,593.84,448246,2661.85,19346,187621,41.86
BRITANNIA,EQ,14-Aug-2026,5615.00,5614.50,5630.00,5550.00,5558.00,5558.00,5591.43,246713,13794.80,17352,135141,54.78
BSE,EQ,14-Aug-2026,3502.80,3501.00,3502.00,3435.00,3447.00,3447.00,3458.66,3018212,104389.55,149200,1244977,41.25
BSOFT,EQ,14-Aug-2026,313.55,316.00,320.40,311.00,312.80,312.05,313.45,561496,1760.03,15866,281626,50.16
CAMS,EQ,14-Aug-2026,773.00,776.00,776.00,761.30,762.25,762.25,765.02,880470,6735.80,43740,478492,54.35
CANBK,EQ,14-Aug-2026,131.80,131.80,131.80,127.77,131.25,131.25,130.61,10082358,13168.51,46710,2986464,29.62
CANFINHOME,EQ,14-Aug-2026,821.85,822.00,823.15,815.10,823.15,820.80,818.80,90795,743.43,7015,54239,59.74
CANHLIFE,EQ,14-Aug-2026,150.23,150.31,150.47,148.23,149.20,148.71,148.95,187916,279.90,3164,72629,38.65
CAPLIPOINT,EQ,14-Aug-2026,2499.70,2502.80,2519.70,2460.60,2489.00,2480.50,2486.24,56745,1410.82,9212,27573,48.59
CARBORUNIV,EQ,14-Aug-2026,1184.60,1179.20,1179.20,1132.30,1153.80,1151.60,1148.39,227617,2613.92,17419,114424,50.27
CARTRADE,EQ,14-Aug-2026,2757.00,2760.10,2804.50,2726.60,2793.00,2797.80,2786.42,177887,4956.68,21772,74027,41.61
CASTROLIND,EQ,14-Aug-2026,187.42,187.39,188.00,186.52,187.03,186.82,187.18,1409953,2639.21,26673,937068,66.46
CCL,EQ,14-Aug-2026,1143.00,1143.00,1143.80,1130.10,1135.40,1133.40,1137.59,50093,569.85,9076,27867,55.63
CDSL,EQ,14-Aug-2026,1350.00,1355.00,1358.30,1338.30,1344.40,1344.40,1345.30,482964,6497.31,23029,227522,47.11
CEATLTD,EQ,14-Aug-2026,3696.50,3696.00,3715.80,3663.10,3690.00,3688.80,3683.78,34048,1254.25,6634,14092,41.39
CEMPRO,EQ,14-Aug-2026,1237.00,1243.20,1298.80,1243.20,1298.80,1298.80,1288.83,305460,3936.85,23591,196694,64.39
CENTRALBK,EQ,14-Aug-2026,31.36,31.36,31.48,31.30,31.40,31.40,31.39,3453194,1083.92,12257,2261989,65.50
CESC,EQ,14-Aug-2026,164.83,166.74,172.00,165.60,167.70,167.83,167.99,5557236,9335.41,49197,1773584,31.91
CGCL,EQ,14-Aug-2026,231.12,231.00,233.87,225.81,227.00,226.52,228.36,2235455,5104.94,16777,551720,24.68
CGPOWER,EQ,14-Aug-2026,886.55,886.55,892.55,878.20,890.15,890.15,887.70,1539330,13664.69,25818,807647,52.47
CHALET,EQ,14-Aug-2026,823.75,826.00,828.00,814.35,825.00,825.10,823.15,71318,587.06,18575,49433,69.31
CHAMBLFERT,EQ,14-Aug-2026,443.30,442.50,444.80,441.35,441.50,442.70,442.97,204506,905.91,8171,144522,70.67
CHENNPETRO,EQ,14-Aug-2026,1341.80,1341.80,1368.80,1311.00,1319.10,1321.90,1333.13,755166,10067.32,24743,247024,32.71
CHOICEIN,EQ,14-Aug-2026,810.25,813.00,816.50,803.00,806.00,804.35,808.17,359840,2908.11,7879,132722,36.88
CHOLAFIN,EQ,14-Aug-2026,1927.90,1900.10,1913.70,1885.00,1894.40,1894.40,1900.75,626875,11915.33,41462,402305,64.18
CHOLAHLDNG,EQ,14-Aug-2026,1584.70,1583.70,1642.70,1560.40,1598.00,1597.20,1607.44,730857,11748.09,53680,234097,32.03
CIEINDIA,EQ,14-Aug-2026,408.60,410.00,412.00,406.60,408.00,407.75,408.89,180153,736.62,14127,98755,54.82
CIPLA,EQ,14-Aug-2026,1458.80,1457.50,1474.30,1449.20,1450.00,1450.00,1459.74,784917,11457.74,35522,490283,62.46
CLEAN,EQ,14-Aug-2026,836.35,842.00,843.85,818.15,821.00,821.50,828.77,331921,2750.88,14470,162854,49.06
COALINDIA,EQ,14-Aug-2026,410.50,409.80,410.40,405.60,407.10,407.10,407.30,5000302,20366.26,85473,3533828,70.67
COCHINSHIP,EQ,14-Aug-2026,1507.00,1509.10,1524.20,1485.00,1496.50,1496.50,1498.92,1027659,15403.75,31410,328626,31.98
COFORGE,EQ,14-Aug-2026,1829.00,1830.00,1836.40,1804.20,1812.00,1812.00,1815.90,1580043,28692.06,52702,871072,55.13
COHANCE,EQ,14-Aug-2026,444.20,444.95,448.70,438.50,442.00,440.65,442.05,388718,1718.31,18258,198405,51.04
COLPAL,EQ,14-Aug-2026,1995.50,1985.50,1989.20,1971.30,1981.00,1981.00,1978.25,153432,3035.27,15668,76058,49.57
CONCOR,EQ,14-Aug-2026,533.65,535.00,543.70,527.00,527.00,527.00,535.98,2639193,14145.44,49981,894025,33.87
CONCORDBIO,EQ,14-Aug-2026,1454.50,1461.60,1461.60,1428.00,1443.30,1451.30,1446.39,115788,1674.75,12387,64989,56.13
COROMANDEL,EQ,14-Aug-2026,2088.80,2088.00,2106.00,2075.10,2095.00,2095.30,2095.31,85771,1797.17,9828,50947,59.40
