SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,08-Jul-2026,1150.10,1142.80,1149.90,1081.20,1090.40,1091.70,1105.27,2679587,29616.62,67301,1588629,59.29
3MINDIA,EQ,08-Jul-2026,35260.00,35205.00,35495.00,33905.00,34445.00,34255.00,34669.52,3946,1368.06,2451,1649,41.79
AADHARHFC,EQ,08-Jul-2026,545.80,540.00,547.45,520.15,527.25,525.20,533.88,533341,2847.41,20322,316924,59.42
AARTIIND,EQ,08-Jul-2026,478.45,478.00,480.75,462.05,466.20,465.50,471.09,350722,1652.21,14577,152117,43.37
AAVAS,EQ,08-Jul-2026,1506.20,1501.10,1515.00,1472.60,1499.90,1499.80,1501.19,100365,1506.66,12877,64633,64.40
ABB,EQ,08-Jul-2026,6978.00,6908.50,6943.50,6725.00,6800.00,6771.50,6821.72,331230,22595.59,34948,108054,32.62
ABBOTINDIA,EQ,08-Jul-2026,26725.00,26725.00,26790.00,26125.00,26350.00,26245.00,26497.95,5245,1389.82,2975,2588,49.34
ABCAPITAL,EQ,08-Jul-2026,405.40,401.40,403.50,384.00,387.60,385.75,394.10,5498737,21670.57,46281,2640456,48.02
ABDL,EQ,08-Jul-2026,686.00,686.00,697.50,668.00,673.00,674.80,681.17,432530,2946.25,17423,190574,44.06
ABFRL,EQ,08-Jul-2026,59.63,59.01,61.18,57.79,58.20,58.31,59.84,14301535,8558.28,40523,7735541,54.09
ABLBL,EQ,08-Jul-2026,95.08,94.10,96.54,93.21,93.80,93.53,94.72,1072336,1015.73,11943,569720,53.13
ABREL,EQ,08-Jul-2026,1409.80,1406.50,1427.50,1335.60,1363.90,1352.40,1372.95,163834,2249.36,12206,63999,39.06
ABSLAMC,EQ,08-Jul-2026,1158.20,1160.30,1169.00,1116.30,1125.00,1124.50,1141.18,162784,1857.66,14700,82575,50.73
ACC,EQ,08-Jul-2026,1384.40,1380.00,1380.00,1332.00,1339.70,1335.10,1353.48,136351,1845.48,13005,49400,36.23
ACE,EQ,08-Jul-2026,998.20,990.00,1008.70,962.40,973.60,968.70,981.75,238065,2337.19,16178,97962,41.15
ACMESOLAR,EQ,08-Jul-2026,367.15,365.00,374.10,361.50,366.00,365.25,367.06,1121342,4116.03,31033,551630,49.19
ACUTAAS,EQ,08-Jul-2026,3391.00,3395.00,3575.40,3392.40,3489.70,3454.50,3484.46,503473,17543.31,57181,179797,35.71
ADANIENSOL,EQ,08-Jul-2026,1651.00,1639.70,1712.00,1632.50,1660.00,1655.50,1675.45,4413139,73939.84,111138,1396948,31.65
ADANIENT,EQ,08-Jul-2026,3107.20,3105.00,3146.90,3028.00,3055.00,3046.90,3082.14,2321035,71537.45,70237,878079,37.83
ADANIGREEN,EQ,08-Jul-2026,1519.00,1518.90,1557.70,1493.60,1511.00,1504.60,1521.98,2283543,34755.17,58496,421680,18.47
ADANIPORTS,EQ,08-Jul-2026,1833.90,1824.90,1850.40,1783.20,1800.90,1791.70,1812.58,1413919,25628.36,68718,624858,44.19
ADANIPOWER,EQ,08-Jul-2026,218.07,217.90,223.55,214.65,217.75,216.48,219.17,28539934,62551.40,114714,7297180,25.57
AEGISLOG,EQ,08-Jul-2026,1383.70,1364.80,1364.80,1245.40,1245.40,1245.40,1290.08,2831836,36532.85,73152,609025,21.51
AEGISVOPAK,EQ,08-Jul-2026,294.32,288.40,294.15,269.80,278.35,276.61,282.07,4611866,13008.53,66799,872797,18.93
AFCONS,EQ,08-Jul-2026,310.25,307.00,308.95,300.60,301.75,301.45,305.34,502190,1533.39,11379,232511,46.30
AFFLE,EQ,08-Jul-2026,1472.70,1462.90,1477.30,1446.00,1462.80,1457.70,1461.09,113541,1658.94,11628,56982,50.19
AIAENG,EQ,08-Jul-2026,4756.50,4737.00,4737.00,4621.50,4652.50,4667.00,4668.08,139016,6489.38,32706,69690,50.13
AIIL,EQ,08-Jul-2026,517.80,514.45,518.55,499.00,500.00,501.10,505.77,117411,593.83,7040,54915,46.77
AJANTPHARM,EQ,08-Jul-2026,3314.50,3314.50,3398.00,3254.80,3285.00,3278.80,3311.87,122540,4058.37,26556,65553,53.50
ALKEM,EQ,08-Jul-2026,5667.50,5679.50,5729.50,5562.50,5614.00,5606.00,5636.83,101198,5704.36,18170,48214,47.64
AMBER,EQ,08-Jul-2026,7625.00,7545.00,7640.00,7380.00,7425.00,7424.00,7488.23,225401,16878.54,27140,107939,47.89
AMBUJACEM,EQ,08-Jul-2026,435.90,431.05,435.70,419.00,420.65,421.10,427.56,1658779,7092.31,28218,620057,37.38
ANANDRATHI,EQ,08-Jul-2026,2052.00,2050.10,2091.60,2034.40,2072.00,2059.80,2064.34,348980,7204.13,26348,142351,40.79
ANANTRAJ,EQ,08-Jul-2026,538.10,532.00,572.30,528.20,548.00,544.75,558.24,10130986,56555.41,147184,2241340,22.12
ANGELONE,EQ,08-Jul-2026,335.80,335.00,341.80,327.55,331.35,331.20,335.93,8692324,29200.34,67772,3602864,41.45
ANTHEM,EQ,08-Jul-2026,766.65,757.90,775.55,742.50,755.00,748.45,750.89,1141533,8571.69,49550,683434,59.87
ANURAS,EQ,08-Jul-2026,1271.20,1270.50,1272.00,1249.00,1260.00,1259.70,1268.32,418349,5306.02,5050,27162,6.49
APARINDS,EQ,08-Jul-2026,14154.00,14101.00,14246.00,13401.00,13440.00,13443.00,13744.39,158359,21765.48,42070,70246,44.36
APLAPOLLO,EQ,08-Jul-2026,1819.80,1819.80,1827.00,1793.10,1819.40,1809.60,1809.84,967207,17504.94,53215,548452,56.70
APOLLOHOSP,EQ,08-Jul-2026,8837.00,8800.00,8888.00,8700.00,8750.00,8753.50,8788.52,275829,24241.29,36797,145691,52.82
APOLLOTYRE,EQ,08-Jul-2026,454.35,448.25,454.15,435.25,441.50,439.55,443.36,1062648,4711.32,33470,487251,45.85
APTUS,EQ,08-Jul-2026,285.50,283.95,288.10,275.60,278.90,277.90,281.39,1142214,3214.08,29416,701603,61.42
ARE&M,EQ,08-Jul-2026,842.60,840.00,862.00,829.10,837.00,835.10,843.52,720228,6075.29,36938,261345,36.29
ASAHIINDIA,EQ,08-Jul-2026,870.70,870.00,903.00,866.50,880.95,876.45,882.77,160254,1414.67,10495,62933,39.27
ASHOKLEY,EQ,08-Jul-2026,164.16,161.84,163.85,155.01,157.00,156.22,159.27,25876039,41213.28,141460,11841467,45.76
ASIANPAINT,EQ,08-Jul-2026,2731.40,2676.60,2713.10,2653.30,2667.00,2665.90,2676.44,1481672,39656.05,76429,780603,52.68
ASTERDM,EQ,08-Jul-2026,789.15,788.95,797.80,771.45,780.05,779.60,783.69,490402,3843.22,41128,239829,48.90
ASTRAL,EQ,08-Jul-2026,1359.50,1359.00,1359.00,1327.30,1332.00,1336.00,1339.03,612098,8196.20,37301,272298,44.49
ATGL,EQ,08-Jul-2026,711.20,708.00,722.75,694.00,701.00,698.65,709.84,1811648,12859.85,39530,438407,24.20
ATHERENERG,EQ,08-Jul-2026,1140.60,1140.50,1214.00,1133.30,1204.00,1200.00,1176.34,8881733,104479.65,218829,2137309,24.06
ATUL,EQ,08-Jul-2026,6432.50,6400.00,6446.00,6300.00,6303.00,6306.50,6369.84,20464,1303.52,3782,11790,57.61
AUBANK,EQ,08-Jul-2026,1066.90,1060.00,1074.00,1033.00,1040.40,1038.80,1052.71,1793492,18880.19,76392,978701,54.57
AUROPHARMA,EQ,08-Jul-2026,1583.10,1575.50,1611.40,1552.10,1556.00,1557.40,1582.41,1106058,17502.36,57684,401298,36.28
AWL,EQ,08-Jul-2026,185.37,184.95,185.27,180.27,181.55,181.44,182.43,3236785,5904.73,28952,1717664,53.07
AXISBANK,EQ,08-Jul-2026,1341.00,1344.00,1344.00,1304.00,1311.50,1309.50,1322.30,6917968,91476.62,157864,3536609,51.12
BAJAJ-AUTO,EQ,08-Jul-2026,10109.50,10070.00,10264.50,9993.00,10175.00,10164.00,10158.92,249351,25331.37,35153,104864,42.05
BAJAJFINSV,EQ,08-Jul-2026,1885.30,1867.00,1890.80,1841.50,1854.00,1854.90,1863.05,1439841,26825.02,67286,867073,60.22
BAJAJHFL,EQ,08-Jul-2026,88.53,88.00,89.45,85.56,86.25,85.99,87.21,4991413,4352.97,34298,2323496,46.55
BAJAJHLDNG,EQ,08-Jul-2026,10759.00,10650.00,10728.00,10276.00,10385.00,10336.00,10466.55,56531,5916.84,14862,24526,43.39
BAJFINANCE,EQ,08-Jul-2026,1042.50,1025.00,1034.70,1004.10,1011.20,1010.40,1020.11,8313859,84810.27,202893,4956701,59.62
BALKRISIND,EQ,08-Jul-2026,2255.00,2235.00,2275.00,2157.10,2179.50,2167.30,2246.71,376475,8458.31,15934,320314,85.08
BALRAMCHIN,EQ,08-Jul-2026,571.65,571.00,573.00,555.20,560.00,560.85,565.60,358975,2030.36,12134,150434,41.91
BANDHANBNK,EQ,08-Jul-2026,205.10,204.94,204.95,194.82,197.00,196.04,199.29,12422435,24757.18,63504,6040073,48.62
BANKBARODA,EQ,08-Jul-2026,247.85,244.95,246.00,239.00,241.00,240.45,242.50,17045169,41334.12,128953,9054141,53.12
BANKINDIA,EQ,08-Jul-2026,142.41,141.73,141.75,134.01,135.60,135.12,137.22,14342743,19680.82,82777,6112557,42.62
BATAINDIA,EQ,08-Jul-2026,685.30,684.40,691.45,664.90,669.85,669.00,677.07,189750,1284.75,14365,75555,39.82
BAYERCROP,EQ,08-Jul-2026,4122.30,4202.00,4313.50,4125.10,4169.00,4163.50,4204.23,195524,8220.28,23321,36548,18.69
BBTC,EQ,08-Jul-2026,1529.50,1525.00,1553.90,1491.50,1501.80,1498.10,1526.92,33888,517.44,3781,17449,51.49
BDL,EQ,08-Jul-2026,1395.70,1390.00,1390.00,1331.60,1337.80,1337.40,1359.14,1146756,15585.99,45274,399223,34.81
BEL,EQ,08-Jul-2026,419.15,416.50,417.80,406.00,408.20,407.60,411.10,12837834,52776.37,166964,7287038,56.76
BELRISE,EQ,08-Jul-2026,229.97,228.50,233.00,224.85,225.95,225.74,229.38,3750320,8602.65,38900,1677146,44.72
BEML,EQ,08-Jul-2026,1832.60,1808.30,1827.80,1760.10,1774.00,1776.20,1797.54,414879,7457.63,26602,209601,50.52
BERGEPAINT,EQ,08-Jul-2026,508.70,503.00,510.00,495.25,497.10,498.10,502.65,355138,1785.11,21775,162708,45.82
BHARATFORG,EQ,08-Jul-2026,2111.60,2108.10,2149.90,2083.00,2104.20,2100.50,2115.70,861054,18217.29,58097,414511,48.14
