SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,04-Sep-2025,1040.20,1043.00,1050.00,1024.30,1028.00,1032.80,1036.19,586066,6072.75,28401,334770,57.12
3MINDIA,EQ,04-Sep-2025,30980.00,31205.00,31410.00,30260.00,30380.00,30455.00,30696.30,7942,2437.90,3215,4758,59.91
AADHARHFC,EQ,04-Sep-2025,515.40,518.00,519.60,505.30,506.00,506.50,509.22,260577,1326.91,8745,158867,60.97
AARTIIND,EQ,04-Sep-2025,385.45,388.90,388.90,378.90,380.90,380.80,382.30,482205,1843.46,14509,244142,50.63
AAVAS,EQ,04-Sep-2025,1601.00,1604.90,1616.90,1568.80,1578.50,1574.20,1590.23,113046,1797.69,15040,59430,52.57
ABB,EQ,04-Sep-2025,5188.40,5220.00,5221.80,5145.00,5155.00,5162.80,5174.21,350954,18159.11,38814,218987,62.40
ABBOTINDIA,EQ,04-Sep-2025,32575.00,32565.00,32755.00,32000.00,32000.00,32175.00,32324.71,4023,1300.42,2157,1910,47.48
ABCAPITAL,EQ,04-Sep-2025,279.25,281.55,281.75,275.80,277.85,277.55,278.23,3582121,9966.45,33769,1810931,50.55
ABDL,EQ,04-Sep-2025,492.85,496.00,503.30,492.60,495.00,494.00,497.16,285289,1418.35,11003,187838,65.84
ABFRL,EQ,04-Sep-2025,81.41,82.55,85.60,82.30,83.00,82.88,84.21,17146822,14439.17,68204,4954704,28.90
ABLBL,EQ,04-Sep-2025,143.05,144.60,144.64,141.26,141.71,142.01,142.47,937950,1336.29,15125,505768,53.92
ABREL,EQ,04-Sep-2025,1818.90,1838.00,1841.00,1801.20,1821.40,1817.30,1821.49,71213,1297.14,7973,38465,54.01
ABSLAMC,EQ,04-Sep-2025,833.50,842.00,845.90,823.85,831.00,827.35,829.69,140168,1162.96,9001,78825,56.24
ACC,EQ,04-Sep-2025,1843.10,1879.90,1881.10,1830.00,1835.00,1840.40,1856.20,302257,5610.50,21178,129171,42.74
ACE,EQ,04-Sep-2025,1096.80,1107.00,1120.00,1067.30,1071.00,1072.20,1084.67,331769,3598.59,27246,138114,41.63
