SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE,EQ,25-Jun-2025,1147.65,1151.25,1200.00,1140.15,1198.70,1190.00,1179.80,879204,10372.88,46493,499295,56.79
3MINDIA,EQ,25-Jun-2025,28415.00,28550.00,28635.00,28440.00,28490.00,28500.00,28540.31,4266,1217.53,985,3240,75.95
AADHARHFC,EQ,25-Jun-2025,434.25,434.25,443.80,430.30,441.25,441.50,437.95,368423,1613.50,14919,201601,54.72
AARTIIND,EQ,25-Jun-2025,454.20,456.45,473.35,455.45,471.50,470.60,468.75,2343302,10984.33,38935,722407,30.83
AAVAS,EQ,25-Jun-2025,1892.80,1907.00,1922.00,1871.20,1879.00,1881.20,1902.07,66272,1260.54,10250,26865,40.54
ABB,EQ,25-Jun-2025,6003.50,6051.00,6065.00,5941.00,5964.50,5966.50,5989.44,138938,8321.60,19525,62181,44.75
ABBOTINDIA,EQ,25-Jun-2025,31535.00,31560.00,31795.00,31365.00,31630.00,31680.00,31631.77,5191,1642.01,1986,2962,57.06
ABCAPITAL,EQ,25-Jun-2025,271.19,272.75,273.05,267.20,272.49,272.33,270.37,8192361,22149.84,58333,2953440,36.05
ABDL,EQ,25-Jun-2025,428.65,428.65,436.75,428.35,433.00,432.45,432.97,293284,1269.85,10504,133755,45.61
ABFRL,EQ,25-Jun-2025,74.06,74.51,75.14,74.20,74.83,74.84,74.66,4267337,3186.06,16663,1968066,46.12
ABREL,EQ,25-Jun-2025,2416.30,2416.30,2446.30,2351.00,2358.00,2358.50,2398.72,99738,2392.43,12117,42629,42.74
ABSLAMC,EQ,25-Jun-2025,766.70,770.45,781.90,765.00,780.35,778.35,771.64,391577,3021.56,13886,197964,50.56
ACC,EQ,25-Jun-2025,1847.80,1859.00,1864.40,1850.00,1854.00,1854.20,1854.50,333987,6193.79,21325,205702,61.59
ACE,EQ,25-Jun-2025,1203.80,1215.10,1233.90,1209.10,1215.00,1216.50,1220.40,192594,2350.41,15779,78073,40.54
ACMESOLAR,EQ,25-Jun-2025,249.10,251.00,251.10,246.25,247.85,248.20,248.73,630745,1568.88,13975,186761,29.61
ACUTAAS,EQ,25-Jun-2025,1093.20,1090.00,1103.10,1082.00,1084.00,1086.40,1092.71,190904,2086.02,20733,140072,73.37
ADANIENSOL,EQ,25-Jun-2025,851.85,856.35,863.70,847.05,852.00,850.20,851.30,2316935,19724.11,42832,1293522,55.83
ADANIENT,EQ,25-Jun-2025,2505.60,2519.90,2541.60,2512.10,2530.00,2527.20,2527.87,921346,23290.39,34059,459989,49.93
ADANIGREEN,EQ,25-Jun-2025,987.30,987.00,997.00,979.50,982.90,981.10,986.61,2294587,22638.66,52309,820502,35.76
ADANIPORTS,EQ,25-Jun-2025,1389.50,1399.70,1404.00,1385.50,1397.80,1393.10,1393.03,1915989,26690.36,88521,960783,50.15
